Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
CCGT_CCS	748.680766	302.000000
COAL_IGCC_CCS	885.639149	225.506190
PV	299.577580	250.771200
WIND	743.561476	169.460000
HYDRO_DAM	1905.444566	35.780227
HYDRO_RIVER	1749.298078	503.580000
IND_BOILER_GAS	19.190544	4.974813
IND_BOILER_WOOD	13.443313	3.479412
IND_BOILER_WASTE	14.011606	3.626498
IND_HEATER_ELEC	95.441528	5.089290
DHN_HP_ELEC	47.546746	28.104684
DHN_BOILER_GAS	8.310607	2.154379
DHN_GEOTHERMAL	217.697709	153.979586
DEC_HP_ELEC	349.578101	202.357878
DEC_BOILER_GAS	47.063586	18.347114
DEC_BOILER_OIL	21.141085	16.368504
THERMAL_SOLAR	526.532276	86.400000
DEC_HEATER_ELEC	1.779351	0.093065
H2_ELECTROLYSIS	43.162186	55.345766
PYROLYSIS	212.800547	100.887851
P2G_INVESTMENT	1179.176889	1002.362891

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
GASOLINE	392.665881
DIESEL	449.843180
NG_CCS	4560.675000
WOOD	1141.947000
COAL_CCS	1222.963737
WASTE	0.000000
