Technology	GWP_construction [ktCO2-eq/y]
CCGT_CCS	73.520000
COAL_IGCC_CCS	28.910826
PV	652.453374
WIND	230.454500
HYDRO_DAM	524.013179
HYDRO_RIVER	208.395000
IND_BOILER_GAS	2.856685
IND_BOILER_WOOD	2.404472
IND_BOILER_WASTE	2.506116
IND_HEATER_ELEC	0.316105
DHN_HP_ELEC	15.352184
DHN_BOILER_GAS	1.237109
DHN_GEOTHERMAL	69.073039
DEC_HP_ELEC	82.392134
DEC_BOILER_GAS	4.465099
DEC_BOILER_OIL	2.232550
THERMAL_SOLAR	110.600000
DEC_HEATER_ELEC	0.048982
H2_ELECTROLYSIS	0.023245
PYROLYSIS	0.000000
P2G_INVESTMENT	0.257181

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	2.400000

Resource	GWP_op [ktCO2-eq/y]
GASOLINE	1561.739300
DIESEL	1693.527267
NG_CCS	3518.235000
WOOD	147.348000
COAL_CCS	1630.618316
WASTE	582.716295
