Technology	Installed capacity [GW]
CCGT_CCS	10.000000
COAL_IGCC_CCS	3.122625
PV	7.720000
WIND	7.400000
HYDRO_DAM	12.100000
HYDRO_RIVER	6.600000
IND_BOILER_GAS	3.948264
IND_BOILER_WOOD	1.416361
IND_BOILER_WASTE	1.474186
IND_HEATER_ELEC	3.164629
DHN_HP_ELEC	2.197157
DHN_BOILER_GAS	1.708347
DHN_BOILER_OIL	7.198529
DHN_GEOTHERMAL	2.562056
DEC_HP_ELEC	8.993683
DEC_BOILER_GAS	3.597473
DEC_BOILER_OIL	1.798737
THERMAL_SOLAR	10.000000
DEC_HEATER_ELEC	0.489817
P2G_INVESTMENT	6.433390
H2_ELECTROLYSIS	1.106915
PYROLYSIS	1.405711

Storage technology	Storage capacity [GWh]
HYDRO_STORAGE	2400.000000

Mobility	Passenger [Mpkm/h] or Freight [Mtkm/h]
CAR_GASOLINE	1.184590
CAR_DIESEL	1.184590
CAR_NG	0.592295
CAR_BEV	1.776884
CAR_FC	1.184590
BUS_NG	0.888442
BUS_FC	1.776884
TRAIN_PUBLIC	6.219096
TRAIN_FREIGHT	2.329559
TRUCK_FREIGHT_FC	1.553039
