Technology [GW]	1	2	3	4	5	6	7	8	9	10	11	12
CCGT_CCS	10.000000	10.000000	10.000000	10.000000	5.368933	6.264640	4.206613	6.864445	9.497370	10.000000	10.000000	10.000000
COAL_IGCC_CCS	3.122625	3.122625	3.122625	0.750486	3.122625	0.000000	2.066832	0.000000	3.122625	3.122625	3.122625	3.122625
PV	0.386000	0.694800	0.926400	1.158000	1.158000	1.235200	1.235200	1.235200	1.003600	0.694800	0.386000	0.308800
WIND	2.368000	2.072000	2.072000	1.332000	1.258000	1.036000	1.110000	1.036000	1.184000	2.072000	2.294000	2.516000
HYDRO_DAM	3.025000	3.025000	2.299000	1.936000	2.541000	3.388000	3.267000	3.146000	3.509000	2.541000	2.541000	2.783000
HYDRO_RIVER	1.980000	1.716000	2.046000	2.904000	4.092000	5.082000	5.082000	4.686000	3.630000	2.442000	2.310000	2.244000
IND_BOILER_GAS	0.000000	0.000000	0.783635	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.801446	0.000000	0.000000
IND_BOILER_WOOD	1.416361	1.416361	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.935799	1.416361
IND_BOILER_WASTE	1.474186	1.474186	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.474186
IND_HEATER_ELEC	1.057716	1.057716	3.164629	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.146818	3.012465	1.057716
DHN_HP_ELEC	2.197157	2.197157	1.661148	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.850563	2.197157
DHN_BOILER_GAS	0.890007	0.841297	0.062117	0.238489	0.466406	0.466406	0.466406	0.466406	0.538519	0.531032	0.000000	1.708347
DHN_GEOTHERMAL	2.562056	2.562056	2.562056	1.073534	0.000000	0.000000	0.000000	0.000000	0.491632	2.390391	2.562056	2.562056
DEC_HP_ELEC	6.663035	6.278317	3.690950	0.008328	0.000000	0.000000	0.000000	0.000000	0.000000	1.690531	4.412345	8.186285
DEC_BOILER_GAS	2.081095	2.063151	1.578654	0.483331	0.171818	0.171818	0.171818	0.171818	0.379493	1.076212	1.625548	2.382560
DEC_BOILER_OIL	1.040548	1.031576	0.789327	0.241666	0.085909	0.085909	0.085909	0.085909	0.189747	0.538106	0.812774	1.191280
THERMAL_SOLAR	0.600000	0.900000	1.200000	1.200000	0.811170	0.811170	0.811170	0.811170	1.300000	1.000000	0.700000	0.500000
DEC_HEATER_ELEC	0.283353	0.280910	0.214943	0.065808	0.023394	0.023394	0.023394	0.023394	0.051670	0.146533	0.221328	0.324399
H2_ELECTROLYSIS	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224
PYROLYSIS	1.227846	1.217259	0.931406	0.285165	0.101372	0.101372	0.101372	0.101372	0.223901	0.634965	0.959074	1.405711

Resource [GW]
GASOLINE	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374
DIESEL	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141
NG_CCS	17.500000	17.500000	17.500000	17.500000	9.395632	10.963119	7.361572	12.012779	16.620397	17.500000	17.500000	17.500000
WOOD	3.484749	3.468868	1.397109	0.427748	0.152059	0.152059	0.152059	0.152059	0.335852	0.952448	2.524138	3.751545
COAL_CCS	6.495061	6.495061	6.495061	1.561011	6.495061	0.000000	4.299012	0.000000	6.495061	6.495061	6.495061	6.495061
WASTE	1.798507	1.798507	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.798507

Mobility [Mpkm/h] or [Mtkm/h]
CAR_GASOLINE	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
CAR_DIESEL	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
CAR_NG	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295
CAR_BEV	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884
CAR_FC	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
BUS_NG	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442
BUS_FC	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884
TRAIN_PUBLIC	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096
TRAIN_FREIGHT	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559
TRUCK_FREIGHT_FC	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039
