Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
CCGT	163.142594	71.032048
PV	295.120195	247.040000
WIND	743.561476	169.460000
HYDRO_DAM	1313.242396	24.659920
HYDRO_RIVER	1133.068073	326.182500
IND_BOILER_GAS	4.766241	1.235564
IND_BOILER_COAL	20.848233	5.395961
IND_BOILER_WASTE	11.010126	2.849652
DHN_HP_ELEC	7.133661	4.216678
DHN_COGEN_GAS	35.186572	17.899003
DHN_BOILER_GAS	5.221656	1.353623
DHN_GEOTHERMAL	141.637326	100.181380
DEC_THERMAL_HP_GAS	90.962818	39.791704
DEC_BOILER_GAS	173.787172	67.748622
DEC_BOILER_OIL	23.129757	17.908235
THERMAL_SOLAR	65.984978	10.827640
H2_FROM_GAS	29.250878	47.003229
P2G_INVESTMENT	0.000000	0.000000

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
ELECTRICITY	50.856352
GASOLINE	392.665881
DIESEL	449.843180
OIL	458.004184
NG	3730.517001
COAL	632.938290
WASTE	0.000000
