Technology [GW]	1	2	3	4	5	6	7	8	9	10	11	12
CCGT	1.836209	1.836209	1.836209	1.836209	0.667800	0.000000	0.000000	0.000000	0.693840	1.836209	1.836209	1.836209
PV	0.391830	0.705294	0.940392	1.175490	1.175490	1.253856	1.253856	1.253856	1.018758	0.705294	0.391830	0.313464
WIND	2.368000	2.072000	2.072000	1.332000	1.258000	1.036000	1.110000	1.036000	1.184000	2.072000	2.294000	2.516000
HYDRO_DAM	3.095175	3.095175	2.352333	1.980912	2.599947	3.466596	3.342789	3.218982	3.590403	2.599947	2.599947	2.847561
HYDRO_RIVER	1.290810	1.118702	1.333837	1.893187	2.667673	3.313078	3.313078	3.054916	2.366484	1.591999	1.505945	1.462918
IND_COGEN_WASTE	0.193200	0.193200	0.193200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.193200	0.193200	0.193200
IND_BOILER_GAS	1.063726	1.063726	0.701269	1.063726	1.063726	0.791165	1.063726	1.063726	1.063726	1.063726	1.063726	1.063726
IND_BOILER_COAL	2.193480	1.727719	2.090176	1.920919	2.193480	2.193480	1.920919	2.193480	1.920919	1.851420	1.727719	1.727719
IND_BOILER_WASTE	0.497858	0.963619	0.963619	0.963619	0.691058	0.963619	0.963619	0.691058	0.963619	0.839918	0.963619	0.963619
DHN_HP_ELEC	0.318899	0.318899	0.318899	0.143993	0.304364	0.316896	0.318899	0.316896	0.318899	0.318899	0.318899	0.318899
DHN_COGEN_GAS	0.402810	0.402810	0.402810	0.369038	0.000000	0.000000	0.010529	0.000000	0.128754	0.402810	0.402810	0.402810
DHN_BOILER_GAS	0.914946	0.939078	0.613152	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.211102	0.585677	1.128605
DHN_GEOTHERMAL	1.666911	1.666911	1.615858	0.494722	0.175867	0.175867	0.163335	0.175867	0.388437	1.101576	1.663858	1.666911
DEC_THERMAL_HP_GAS	2.664895	2.589299	1.576769	0.378413	0.012532	0.000000	0.000000	0.000000	0.252275	1.052128	1.690734	3.315819
DEC_BOILER_GAS	7.684661	7.618399	5.829343	1.784751	0.634454	0.634454	0.634454	0.634454	1.401319	3.974026	6.002506	8.797851
DEC_BOILER_OIL	1.138429	1.128612	0.863576	0.264398	0.093990	0.093990	0.093990	0.093990	0.207596	0.588724	0.889229	1.303340
THERMAL_SOLAR	0.075192	0.112788	0.150384	0.150384	0.175448	0.187980	0.200512	0.187980	0.162916	0.125320	0.087724	0.062660
H2_FROM_GAS	0.587540	0.587540	0.587540	0.587540	0.587540	0.587540	0.587540	0.587540	0.587540	0.587540	0.587540	0.587540

Resource [GW]
GASOLINE	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374
DIESEL	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141
OIL	1.343346	1.331763	1.019020	0.311990	0.110908	0.110908	0.110908	0.110908	0.244963	0.694694	1.049290	1.537941
NG	18.270997	18.172861	14.765159	9.117584	4.815249	3.450684	3.771373	3.745050	6.190384	12.311488	15.395509	20.173511
COAL	2.676046	2.107817	2.550015	2.343521	2.676046	2.676046	2.343521	2.676046	2.343521	2.258732	2.107817	2.107817
WASTE	1.036291	1.604519	1.604519	1.175615	0.843091	1.175615	1.175615	0.843091	1.175615	1.453604	1.604519	1.604519

Mobility [Mpkm/h] or [Mtkm/h]
CAR_GASOLINE	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
CAR_DIESEL	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
CAR_NG	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295
CAR_BEV	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884
CAR_FC	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
BUS_NG	2.665327	2.665327	2.665327	2.665327	2.665327	2.665327	2.665327	2.665327	2.665327	2.665327	2.665327	2.665327
TRAIN_PUBLIC	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096
TRAIN_FREIGHT	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559
TRUCK_FREIGHT_FC	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039
