Technology	Energy output [GWh/y]
CCGT_CCS	74460.000
COAL_IGCC_CCS	5711.562
PV	15383.599
WIND	14850.912
HYDRO_DAM	24805.968
HYDRO_RIVER	27973.440
IND_BOILER_GAS	18470.122
IND_BOILER_WOOD	3733.116
IND_BOILER_WASTE	5466.196
IND_HEATER_ELEC	6917.358
DHN_HP_ELEC	7314.158
DHN_BOILER_GAS	4876.105
DHN_GEOTHERMAL	12190.263
DEC_HP_ELEC	22453.630
DEC_BOILER_GAS	8981.452
DEC_BOILER_OIL	4490.726
THERMAL_SOLAR	7758.575
DEC_HEATER_ELEC	1222.877
POWER_TO_GAS_EFF	37595.991
H2_ELECTROLYSIS	8726.920
PYROLYSIS	5299.057

Resource	Energy consumption [GWh/y]
GASOLINE	5396.043
DIESEL	5292.273
NG_CCS	130305.000
WOOD	12279.000
COAL_CCS	11880.049
WASTE	6668.759

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_GASOLINE	10377.005
CAR_DIESEL	10377.005
CAR_PHEV	5188.503
CAR_BEV	15565.508
CAR_FC	10377.005
BUS_NG	7782.754
BUS_FC	15565.508
TRAIN_PUBLIC	54479.278
TRAIN_FREIGHT	20406.935
TRUCK_FREIGHT_FC	13604.623
