Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
CCGT_CCS	748.680766	302.000000
COAL_IGCC_CCS	33.705763	8.582342
PV	512.905780	429.344538
WIND	743.561476	169.460000
HYDRO_DAM	1905.444566	35.780227
HYDRO_RIVER	1749.298078	503.580000
IND_BOILER_GAS	14.426247	3.739752
IND_BOILER_WOOD	13.544180	3.505518
IND_BOILER_WASTE	23.982639	6.207211
IND_HEATER_ELEC	56.522921	3.014008
DHN_HP_ELEC	60.086825	35.517073
DHN_BOILER_GAS	5.048186	1.308654
DHN_GEOTHERMAL	240.957166	170.431213
DEC_HP_ELEC	349.046321	202.050050
DEC_BOILER_GAS	46.991993	18.319205
DEC_BOILER_OIL	21.108925	16.343604
THERMAL_SOLAR	526.532276	86.400000
DEC_HEATER_ELEC	1.756497	0.091870
H2_ELECTROLYSIS	43.162186	55.345766
PYROLYSIS	158.091031	74.950298
P2G_INVESTMENT	765.716108	650.899300

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
GASOLINE	474.851763
DIESEL	449.843180
OIL	40.876565
NG_CCS	4560.675000
WOOD	1141.947000
COAL_CCS	36.871693
WASTE	0.000000
