Technology	GWP_construction [ktCO2-eq/y]
CCGT_CCS	73.520000
PV	900.111106
WIND	230.454500
HYDRO_DAM	512.132500
HYDRO_RIVER	208.395000
IND_BOILER_GAS	1.912497
IND_BOILER_WOOD	3.148579
IND_BOILER_WASTE	3.563470
IND_HEATER_ELEC	0.130395
DHN_HP_ELEC	21.541094
DHN_BOILER_GAS	1.186478
DHN_GEOTHERMAL	73.833335
DEC_HP_ELEC	81.883162
DEC_BOILER_GAS	4.437516
DEC_BOILER_OIL	2.218758
THERMAL_SOLAR	110.600000
DEC_HEATER_ELEC	0.046427
H2_ELECTROLYSIS	0.023245
PYROLYSIS	0.000000
P2G_INVESTMENT	0.153808

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	2.400000

Resource	GWP_op [ktCO2-eq/y]
GASOLINE	1888.614967
DIESEL	1693.527267
OIL	651.372014
NG	107.614495
NG_CCS	3518.235000
WOOD	147.348000
WASTE	1671.300000
