Technology	Installed capacity [GW]
CCGT_CCS	9.132195
PV	7.720000
WIND	7.400000
HYDRO_DAM	12.100000
HYDRO_RIVER	6.600000
IND_BOILER_GAS	1.841245
IND_BOILER_WOOD	2.632009
IND_BOILER_WASTE	1.316255
IND_HEATER_ELEC	1.402037
DHN_HP_ELEC	2.605571
DHN_BOILER_GAS	1.500279
DHN_BOILER_OIL	6.845004
DHN_GEOTHERMAL	2.715235
DEC_HP_ELEC	8.864742
DEC_BOILER_GAS	3.545897
DEC_BOILER_OIL	1.772948
THERMAL_SOLAR	10.000000
DEC_HEATER_ELEC	0.430523
P2G_INVESTMENT	2.976579
H2_ELECTROLYSIS	1.106915
PYROLYSIS	0.045997

Storage technology	Storage capacity [GWh]
HYDRO_STORAGE	2400.000000

Mobility	Passenger [Mpkm/h] or Freight [Mtkm/h]
CAR_GASOLINE	1.184590
CAR_DIESEL	1.184590
CAR_PHEV	0.592295
CAR_BEV	1.776884
CAR_FC	1.184590
BUS_NG	0.888442
BUS_FC	1.776884
TRAIN_PUBLIC	6.219096
TRAIN_FREIGHT	2.329559
TRUCK_FREIGHT_FC	1.553039
