Technology [GW]	1	2	3	4	5	6	7	8	9	10	11	12
CCGT_CCS	9.066983	9.066983	9.066983	8.453100	6.327146	4.079413	4.091026	5.581172	9.066983	9.066983	9.066983	9.066983
PV	0.391830	0.705294	0.940392	1.175490	1.175490	1.253856	1.253856	1.253856	1.018758	0.705294	0.391830	0.313464
WIND	2.368000	2.072000	2.072000	1.332000	1.258000	1.036000	1.110000	1.036000	1.184000	2.072000	2.294000	2.516000
HYDRO_DAM	3.095175	3.095175	2.352333	1.980912	2.599947	3.466596	3.342789	3.218982	3.590403	2.599947	2.599947	2.847561
HYDRO_RIVER	1.980000	1.716000	2.046000	2.904000	4.092000	5.082000	5.082000	4.686000	3.630000	2.442000	2.310000	2.244000
IND_BOILER_GAS	0.000000	0.000000	0.000000	1.743395	1.846961	1.846961	1.846961	1.846961	1.552238	0.811734	0.000000	0.000000
IND_BOILER_WOOD	2.259163	2.259163	2.259163	0.802205	0.698639	0.698639	0.000000	0.000000	0.000000	0.430148	2.259163	2.259163
IND_BOILER_WASTE	1.689101	1.689101	1.689101	0.000000	0.000000	0.000000	0.698639	0.698639	0.993362	1.689101	1.689101	1.689101
IND_HEATER_ELEC	0.000000	0.000000	0.000000	1.402664	1.402664	1.402664	1.402664	1.402664	1.402664	1.017281	0.000000	0.000000
DHN_HP_ELEC	2.605268	2.605268	0.911692	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.934710	2.605268
DHN_BOILER_GAS	0.635924	0.584461	0.888527	0.273278	0.485310	0.485310	0.485310	0.485310	0.569634	0.604284	0.000000	1.500508
DHN_GEOTHERMAL	2.714519	2.714519	2.714519	1.100138	0.000000	0.000000	0.000000	0.000000	0.505981	2.469480	2.714519	2.714519
DEC_HP_ELEC	6.589262	6.203866	3.598180	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.652136	4.321347	8.123912
DEC_BOILER_GAS	2.051397	2.033709	1.556126	0.476434	0.169366	0.169366	0.169366	0.169366	0.374078	1.060854	1.602351	2.348560
DEC_BOILER_OIL	1.025699	1.016854	0.778063	0.238217	0.084683	0.084683	0.084683	0.084683	0.187039	0.530427	0.801175	1.174280
THERMAL_SOLAR	0.600000	0.900000	1.200000	1.200000	0.817667	0.817667	0.817667	0.817667	1.300000	1.000000	0.700000	0.500000
DEC_HEATER_ELEC	0.249211	0.247062	0.189044	0.057879	0.020575	0.020575	0.020575	0.020575	0.045444	0.128876	0.194659	0.285311
H2_ELECTROLYSIS	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224
PYROLYSIS	0.049038	0.049038	0.049038	0.049038	0.028665	0.028665	0.028665	0.028665	0.049038	0.049038	0.049038	0.049038

Resource [GW]
GASOLINE	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987
DIESEL	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141
OIL	1.161287	1.150850	0.869076	0.232058	0.071261	0.071261	0.071261	0.071261	0.171668	0.576866	0.896349	1.336613
NG	1.439767	1.500842	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.226270	1.520602
NG_CCS	15.867220	15.867220	15.867220	14.792925	11.072506	7.138972	7.159295	9.767050	15.867220	15.867220	15.867220	15.867220
WOOD	2.694186	2.694186	2.694186	1.004114	0.853419	0.853419	0.042998	0.042998	0.073557	0.572528	2.694186	2.694186
WASTE	2.060703	2.060703	2.060703	0.000000	0.000000	0.000000	0.852340	0.852340	1.211901	2.060703	2.060703	2.060703

Mobility [Mpkm/h] or [Mtkm/h]
CAR_GASOLINE	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
CAR_DIESEL	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
CAR_PHEV	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295
CAR_BEV	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884
CAR_FC	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
BUS_NG	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442
BUS_FC	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884
TRAIN_PUBLIC	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096
TRAIN_FREIGHT	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559
TRUCK_FREIGHT_FC	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039
