Technology	GWP_construction [ktCO2-eq/y]
CCGT	24.750124
PV	642.745584
WIND	230.454500
HYDRO_DAM	361.152633
HYDRO_RIVER	134.983125
IND_BOILER_GAS	0.709498
IND_BOILER_COAL	6.219161
IND_BOILER_WASTE	1.969272
DHN_HP_ELEC	2.303360
DHN_COGEN_GAS	8.769083
DHN_BOILER_GAS	0.777291
DHN_GEOTHERMAL	44.939933
DEC_THERMAL_HP_GAS	75.155547
DEC_BOILER_GAS	16.487842
DEC_BOILER_OIL	2.442558
THERMAL_SOLAR	13.860382
H2_FROM_GAS	0.000000
P2G_INVESTMENT	0.000000

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	0.172268

Resource	GWP_op [ktCO2-eq/y]
ELECTRICITY	271.233880
GASOLINE	1561.739300
DIESEL	1693.527267
OIL	1797.231609
NG	28778.274007
COAL	8439.177202
WASTE	1671.300000
