Technology [GW]	1	2	3	4	5	6	7	8	9	10	11	12
CCGT	2.490420	2.490420	2.098153	2.105619	0.708285	0.000000	0.000000	0.000000	0.362452	2.490420	2.490420	2.490420
PV	0.386000	0.694800	0.926400	1.158000	1.158000	1.235200	1.235200	1.235200	1.003600	0.694800	0.386000	0.308800
WIND	2.368000	2.072000	2.072000	1.332000	1.258000	1.036000	1.110000	1.036000	1.184000	2.072000	2.294000	2.516000
HYDRO_DAM	2.524824	2.524824	1.918867	1.615888	2.120853	2.827803	2.726810	2.625817	2.928796	2.120853	2.120853	2.322839
HYDRO_RIVER	1.282500	1.111500	1.325250	1.881000	2.650500	3.291750	3.291750	3.035250	2.351250	1.581750	1.496250	1.453500
IND_COGEN_GAS	0.493432	0.493432	0.493432	0.493432	0.493432	0.152660	0.152660	0.152660	0.493432	0.493432	0.493432	0.493432
IND_BOILER_GAS	2.493640	2.296437	2.493640	2.152869	2.164693	2.493640	2.493640	2.493640	2.493640	2.152869	2.193547	2.493640
IND_BOILER_COAL	0.143568	0.000000	0.143568	0.143568	0.143568	0.143568	0.143568	0.143568	0.143568	0.143568	0.102890	0.143568
IND_BOILER_WASTE	0.817624	1.158395	0.817624	1.158395	1.146571	1.158395	1.158395	1.158395	0.817624	1.158395	1.158395	0.817624
DHN_HP_ELEC	0.374100	0.374100	0.374100	0.374100	0.305932	0.318593	0.331254	0.318593	0.374100	0.374100	0.374100	0.374100
DHN_COGEN_GAS	0.346130	0.346130	0.346130	0.139802	0.000000	0.000000	0.000000	0.000000	0.074699	0.346130	0.346130	0.346130
DHN_BOILER_GAS	0.914267	0.938813	0.613957	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.212357	0.585770	1.127373
DHN_GEOTHERMAL	1.666149	1.666149	1.618083	0.495403	0.176109	0.174170	0.161508	0.174170	0.388972	1.103093	1.666149	1.666149
DEC_THERMAL_HP_GAS	2.667815	2.591806	1.575217	0.376861	0.010722	0.000000	0.000000	0.000000	0.250594	1.050835	1.689829	3.319293
DEC_BOILER_GAS	7.681727	7.615491	5.827118	1.784070	0.634212	0.634212	0.634212	0.634212	1.400784	3.972509	6.000215	8.794493
DEC_BOILER_OIL	1.138429	1.128612	0.863576	0.264398	0.093990	0.093990	0.093990	0.093990	0.207596	0.588724	0.889229	1.303340
THERMAL_SOLAR	0.075968	0.113951	0.151935	0.151935	0.177258	0.189919	0.202580	0.189919	0.164597	0.126613	0.088629	0.063306
H2_FROM_GAS	0.587540	0.587540	0.587540	0.587540	0.587540	0.587540	0.587540	0.587540	0.587540	0.587540	0.587540	0.587540

Resource [GW]
GASOLINE	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374
DIESEL	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141
OIL	1.343346	1.331763	1.019020	0.311990	0.110908	0.110908	0.110908	0.110908	0.244963	0.694694	1.049290	1.537941
NG	21.782513	21.471595	18.043817	11.218080	7.137929	5.620362	5.620362	5.620362	8.141675	15.455808	18.581906	23.684327
COAL	0.175153	0.000000	0.175153	0.175153	0.175153	0.175153	0.175153	0.175153	0.175153	0.175153	0.125526	0.175153
WASTE	0.997501	1.413242	0.997501	1.413242	1.398817	1.413242	1.413242	1.413242	0.997501	1.413242	1.413242	0.997501

Mobility [Mpkm/h] or [Mtkm/h]
CAR_GASOLINE	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
CAR_DIESEL	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
CAR_NG	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295
CAR_BEV	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884
CAR_FC	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
BUS_NG	2.665327	2.665327	2.665327	2.665327	2.665327	2.665327	2.665327	2.665327	2.665327	2.665327	2.665327	2.665327
TRAIN_PUBLIC	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096
TRAIN_FREIGHT	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559
TRUCK_FREIGHT_FC	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039
