Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
CCGT_CCS	328.089831	132.343628
PV	295.120195	247.040000
WIND	743.561476	169.460000
HYDRO_DAM	1862.243409	34.969000
HYDRO_RIVER	1133.068073	326.182500
IND_COGEN_GAS	7.731722	8.644829
IND_BOILER_GAS	13.135307	3.405098
IND_BOILER_WASTE	11.010126	2.849652
IND_HEATER_ELEC	23.246791	1.239604
DHN_HP_ELEC	15.596345	9.218935
DHN_BOILER_GAS	5.479597	1.420490
DHN_GEOTHERMAL	141.572564	100.135573
DEC_HP_ELEC	363.159559	210.219683
DEC_THERMAL_HP_GAS	90.962818	39.791704
DEC_BOILER_GAS	51.490701	20.072966
DEC_BOILER_OIL	23.129757	17.908235
THERMAL_SOLAR	66.665710	10.939343
H2_FROM_GAS	29.250878	47.003229
P2G_INVESTMENT	0.000000	0.000000

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
GASOLINE	474.851763
DIESEL	449.843180
OIL	458.004184
NG	2059.400097
NG_CCS	1655.824261
WASTE	0.000000
