Technology	Energy output [GWh/y]
CCGT_CCS	31188.457
PV	7728.141
WIND	14850.912
HYDRO_DAM	25381.428
HYDRO_RIVER	18236.559
IND_BOILER_GAS	18536.647
IND_BOILER_WASTE	9132.787
IND_HEATER_ELEC	6917.358
DHN_HP_ELEC	5114.689
DHN_BOILER_GAS	3409.793
DHN_GEOTHERMAL	8524.482
DEC_HP_ELEC	23739.708
DEC_THERMAL_HP_GAS	8709.318
DEC_BOILER_GAS	9714.608
DEC_BOILER_OIL	4857.304
THERMAL_SOLAR	1552.103
H2_ELECTROLYSIS	342.837
H2_FROM_GAS	2105.996

Resource	Energy consumption [GWh/y]
GASOLINE	7263.904
DIESEL	5292.273
OIL	5731.619
NG	50359.548
NG_CCS	54579.799
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_GASOLINE	10377.005
CAR_DIESEL	10377.005
CAR_PHEV	15565.508
CAR_BEV	15565.508
BUS_NG	23348.262
TRAIN_PUBLIC	54479.278
TRAIN_FREIGHT	20406.935
TRUCK_FREIGHT_FC	13604.623
