Technology	Installed capacity [GW]
CCGT_CCS	6.250482
PV	7.720000
WIND	7.400000
HYDRO_DAM	12.100000
HYDRO_RIVER	4.275000
IND_BOILER_GAS	2.501739
IND_BOILER_WOOD	0.288130
IND_BOILER_WASTE	1.158395
IND_HEATER_ELEC	1.264626
DHN_HP_ELEC	1.183405
DHN_BOILER_GAS	2.206108
DHN_BOILER_OIL	8.027757
DHN_GEOTHERMAL	2.248818
DEC_HP_ELEC	9.306700
DEC_THERMAL_HP_GAS	1.803920
DEC_BOILER_GAS	3.722680
DEC_BOILER_OIL	1.861340
THERMAL_SOLAR	4.929588
H2_ELECTROLYSIS	1.106915

Storage technology	Storage capacity [GWh]
HYDRO_STORAGE	2400.000000

Mobility	Passenger [Mpkm/h] or Freight [Mtkm/h]
CAR_GASOLINE	1.184590
CAR_DIESEL	1.184590
CAR_PHEV	0.592295
CAR_BEV	1.776884
CAR_FC	1.184590
BUS_NG	0.888442
BUS_FC	1.776884
TRAIN_PUBLIC	6.219096
TRAIN_FREIGHT	2.329559
TRUCK_FREIGHT_FC	1.553039
