Technology [GW]	1	2	3	4	5	6	7	8	9	10	11	12
PV	2.845000	5.121000	6.828000	8.535000	8.535000	9.104000	8.288534	9.104000	7.397000	5.121000	2.845000	2.276000
WIND	2.368000	2.072000	2.072000	1.332000	1.258000	1.036000	1.110000	1.036000	1.184000	2.072000	2.294000	2.516000
HYDRO_DAM	3.095175	3.095175	2.352333	1.980912	2.599947	1.230559	3.342789	3.218982	3.590403	2.599947	2.599947	2.847561
HYDRO_RIVER	1.980000	1.716000	2.046000	2.904000	3.894330	5.082000	5.082000	4.686000	3.630000	2.442000	2.310000	2.244000
GEOTHERMAL_ELEC	0.700000	0.700000	0.700000	0.700000	0.700000	0.000000	0.000000	0.429032	0.700000	0.700000	0.700000	0.700000
IND_BOILER_GAS	0.000000	0.000000	0.000000	0.000000	3.557172	3.557172	3.557172	3.557172	0.000000	0.000000	0.000000	0.000000
IND_BOILER_WOOD	1.857424	1.857424	1.753452	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.857424	1.857424	1.857424
IND_BOILER_WASTE	2.090839	2.090839	2.090839	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.090839	2.090839	2.090839
IND_HEATER_ELEC	0.000000	0.000000	0.103972	3.948264	0.391092	0.391092	0.391092	0.391092	3.948264	0.000000	0.000000	0.000000
DHN_HP_ELEC	0.000000	0.972596	4.304377	1.317857	0.000000	0.000000	0.000000	0.000000	0.452051	2.772207	0.000000	0.000000
DHN_BOILER_GAS	0.868056	0.949351	0.000000	0.000000	0.468480	0.468480	0.468480	0.468480	0.582680	0.000000	0.627221	1.690034
DHN_GEOTHERMAL	4.574122	3.703466	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.162207	3.572857	4.574122
DEC_HP_ELEC	4.626153	5.112306	6.234182	1.076099	0.000000	0.000000	0.000000	0.000000	0.487107	3.905882	3.382160	6.145809
DEC_THERMAL_HP_GAS	0.294120	0.291584	0.223111	0.068309	0.024283	0.024283	0.024283	0.024283	0.053634	0.152101	0.229738	0.336726
DEC_BOILER_GAS	2.090461	2.072436	1.585759	0.485507	0.172591	0.172591	0.172591	0.172591	0.381201	1.081056	1.632864	2.393283
DEC_BOILER_OIL	1.045231	1.036218	0.792879	0.242753	0.086295	0.086295	0.086295	0.086295	0.190601	0.540528	0.816432	1.196641
THERMAL_SOLAR	0.600000	0.900000	1.200000	1.200000	0.809122	0.809122	0.809122	0.809122	1.300000	1.000000	0.700000	0.500000
H2_ELECTROLYSIS	0.000000	0.637609	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.000000	0.000000
H2_FROM_GAS	0.996224	0.358615	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.996224	0.996224
PYROLYSIS	0.892930	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.892930	0.892930

Resource [GW]
GASOLINE	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987
DIESEL	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141
OIL	0.340442	1.222737	0.935598	0.286449	0.101829	0.101829	0.101829	0.101829	0.224909	0.637823	0.070459	0.519107
NG	5.370640	4.273439	2.185093	0.539058	0.000000	0.000000	0.000000	0.000000	0.000000	1.577296	4.244197	6.307782
WOOD	3.494008	2.154612	2.034005	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.154612	3.494008	3.494008
WASTE	2.550824	2.550824	2.550824	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.550824	2.550824	2.550824

Mobility [Mpkm/h] or [Mtkm/h]
CAR_GASOLINE	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
CAR_DIESEL	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
CAR_PHEV	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295
CAR_BEV	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884
CAR_FC	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
BUS_NG	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442
BUS_FC	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884
TRAIN_PUBLIC	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096
TRAIN_FREIGHT	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559
TRUCK_FREIGHT_FC	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039
