Technology [GW]	1	2	3	4	5	6	7	8	9	10	11	12
PV	2.479684	4.463431	5.951241	7.439051	7.439051	7.934988	7.204533	7.934988	6.447178	4.463431	2.479684	1.983747
WIND	2.368000	2.072000	2.072000	1.332000	1.258000	0.000000	1.110000	1.036000	1.184000	2.072000	2.294000	2.516000
HYDRO_DAM	3.095175	3.095175	2.352333	1.980912	2.599947	3.466596	3.342789	3.218982	3.590403	2.599947	2.599947	2.847561
HYDRO_RIVER	1.980000	1.716000	2.046000	2.904000	4.092000	5.082000	5.082000	4.686000	3.630000	2.442000	2.310000	2.244000
GEOTHERMAL_ELEC	0.325829	0.325829	0.325829	0.325829	0.325829	0.000000	0.000000	0.000000	0.325829	0.325829	0.325829	0.325829
IND_BOILER_GAS	0.095206	0.095206	0.095206	1.300668	2.124723	1.654969	1.654969	1.654969	1.894441	0.095206	0.095206	0.095206
IND_BOILER_WOOD	1.887508	1.887508	1.887508	1.887508	0.000000	0.000000	0.000000	0.000000	1.363478	1.887508	1.887508	1.887508
IND_BOILER_WASTE	1.965550	1.965550	1.965550	0.760088	0.000000	0.000000	0.000000	0.000000	0.000000	1.965550	1.965550	1.965550
IND_HEATER_ELEC	0.000000	0.000000	0.000000	0.000000	1.823541	2.293295	2.293295	2.293295	0.690345	0.000000	0.000000	0.000000
DHN_HP_ELEC	0.898577	0.849517	1.880052	1.321440	0.469754	0.000000	0.000000	0.000000	1.037545	1.880052	0.000000	1.722790
DHN_BOILER_GAS	1.164351	1.164351	1.035383	0.000000	0.000000	0.469754	0.469754	0.469754	0.000000	0.000000	0.817451	1.164351
DHN_GEOTHERMAL	3.626840	3.626840	1.400646	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.062340	3.626840	3.626840
DEC_HP_ELEC	5.608995	5.224185	4.860511	1.084358	0.000000	0.000000	0.000000	0.000000	0.493591	3.024138	3.355953	7.133802
DEC_THERMAL_HP_GAS	0.278692	0.276289	0.211407	0.064726	0.023009	0.023009	0.023009	0.023009	0.050820	0.144122	0.217687	0.319063
DEC_BOILER_GAS	2.077041	2.059131	1.575578	0.482390	0.171483	0.171483	0.171483	0.171483	0.378754	1.074115	1.622381	2.377918
DEC_BOILER_OIL	1.038520	1.029566	0.787789	0.241195	0.085741	0.085741	0.085741	0.085741	0.189377	0.537058	0.811191	1.188959
THERMAL_SOLAR	0.600000	0.900000	1.200000	1.200000	0.812058	0.812058	0.812058	0.812058	1.300000	1.000000	0.700000	0.500000
H2_ELECTROLYSIS	0.000000	0.000000	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.639821	0.000000	0.000000
H2_FROM_GAS	0.996224	0.996224	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.356403	0.996224	0.996224

Resource [GW]
GASOLINE	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987
DIESEL	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141
OIL	1.225454	1.214887	0.929591	0.284610	0.101175	0.101175	0.101175	0.101175	0.223465	0.633728	0.957205	1.402972
NG	8.140655	5.672663	3.386987	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.141085	4.532757	8.203135
WOOD	2.189509	2.189509	2.189509	2.189509	0.000000	0.000000	0.000000	0.000000	1.581635	2.189509	2.189509	2.189509
WASTE	2.397971	2.397971	2.397971	0.927307	0.000000	0.000000	0.000000	0.000000	0.000000	2.397971	2.397971	2.397971

Mobility [Mpkm/h] or [Mtkm/h]
CAR_GASOLINE	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
CAR_DIESEL	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
CAR_PHEV	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295
CAR_BEV	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884
CAR_FC	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
BUS_NG	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442
BUS_FC	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884
TRAIN_PUBLIC	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096
TRAIN_FREIGHT	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559
TRUCK_FREIGHT_FC	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039
