Technology	Installed capacity [GW]
CCGT	0.877318
PV	23.388734
WIND	7.400000
HYDRO_DAM	12.380701
HYDRO_RIVER	6.600000
IND_COGEN_GAS	1.831032
IND_COGEN_WOOD	0.121600
IND_COGEN_WASTE	0.193200
IND_BOILER_GAS	1.671458
IND_BOILER_WOOD	1.118411
IND_BOILER_WASTE	1.158395
IND_HEATER_ELEC	2.366616
DHN_HP_ELEC	0.604052
DHN_COGEN_WOOD	0.121600
DHN_COGEN_WASTE	0.193200
DHN_BOILER_GAS	0.970939
DHN_BOILER_OIL	10.041459
DHN_GEOTHERMAL	1.734840
DEC_HP_ELEC	8.831517
DEC_THERMAL_HP_GAS	3.935876
DEC_BOILER_GAS	3.935876
DEC_BOILER_OIL	1.967938
THERMAL_SOLAR	2.590148
H2_ELECTROLYSIS	0.996224
H2_FROM_GAS	0.996224

Storage technology	Storage capacity [GWh]
HYDRO_STORAGE	2400.000000

Mobility	Passenger [Mpkm/h] or Freight [Mtkm/h]
CAR_GASOLINE	1.184590
CAR_DIESEL	1.184590
CAR_PHEV	0.592295
CAR_BEV	1.776884
CAR_FC	1.184590
BUS_NG	0.888442
BUS_FC	1.776884
TRAIN_PUBLIC	6.219096
TRAIN_FREIGHT	2.329559
TRUCK_FREIGHT_FC	1.553039
