source,target,realValue,layerID,layerColor,layerUnit
Gasoline import,Gasoline,5.40,Gasoline,#808080,TWh
Gasoline,Mobility private,4.46,Gasoline,#808080,TWh
Gasoline,Mobility private,0.93,Gasoline,#808080,TWh
Diesel import,Diesel,5.29,Diesel,#D3D3D3,TWh
Diesel,Mobility private,5.29,Diesel,#D3D3D3,TWh
Natural gas import,Natural gas,69.36,Natural gas,#FFD700,TWh
Natural gas,Mobility public,7.24,Natural gas,#FFD700,TWh
Natural gas,Hydrogen,5.89,Natural gas,#FFD700,TWh
Natural gas,Electricity,3.35,Natural gas,#FFD700,TWh
Natural gas,CHP,23.75,Natural gas,#FFD700,TWh
Natural gas,Heat pumps,6.58,Natural gas,#FFD700,TWh
Natural gas,Boilers,22.55,Natural gas,#FFD700,TWh
Wind,Electricity,14.85,Wind,#FFA500,TWh
Hydro dam,Electricity,25.38,Hydro dam,#00CED1,TWh
Hydro river,Electricity,27.97,Hydro river,#0000FF,TWh
Solar,Electricity,15.83,Solar,#FFFF00,TWh
Solar,Heat LT dec,2.52,Solar,#FFFF00,TWh
Geothermal,DHN,7.97,Geothermal,#FF0000,TWh
Waste,Boilers,11.14,Waste,#808000,TWh
Oil import,Oil,5.80,Oil,#8B008B,TWh
Oil,Boilers,5.80,Oil,#8B008B,TWh
Electricity,Mobility private,1.97,Electricity,#00BFFF,TWh
Electricity,Mobility public,4.90,Electricity,#00BFFF,TWh
Electricity,Freight,1.43,Electricity,#00BFFF,TWh
Electricity,Losses electricity,6.77,Electricity,#00BFFF,TWh
Electricity,Electricity demand,65.29,Electricity,#00BFFF,TWh
Electricity,Heat pumps,8.47,Electricity,#00BFFF,TWh
Electricity,Hydrogen,0.90,Electricity,#00BFFF,TWh
Electricity,Heat HT,6.92,Electricity,#00BFFF,TWh
Hydrogen,Mobility private,2.70,Hydrogen,#FF00FF,TWh
Hydrogen,Freight,2.45,Hydrogen,#FF00FF,TWh
CHP,Electricity,10.51,Electricity,#00BFFF,TWh
CHP,Heat HT,10.94,Heat HT,#DC143C,TWh
Heat pumps,Heat LT dec,31.88,Heat LT,#FA8072,TWh
Heat pumps,DHN,4.78,Heat LT,#FA8072,TWh
Boilers,Heat LT dec,14.74,Heat LT,#FA8072,TWh
Boilers,DHN,3.19,Heat LT,#FA8072,TWh
Boilers,Heat HT,16.73,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,24.47,Heat LT,#FA8072,TWh
DHN,Losses DHN,1.29,Heat LT,#FA8072,TWh
