Technology [GW]	1	2	3	4	5	6	7	8	9	10	11	12
CCGT	0.583273	0.583273	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.583273	0.583273
PV	1.169437	2.104986	2.806648	3.508310	3.508310	3.742197	3.742197	3.742197	3.040535	2.104986	1.169437	0.935549
WIND	2.368000	2.072000	2.072000	1.332000	1.258000	1.036000	1.110000	1.036000	1.184000	2.072000	2.294000	2.516000
HYDRO_DAM	3.095175	3.095175	2.352333	1.980912	2.599947	3.466596	3.342789	3.218982	3.590403	2.599947	2.599947	2.847561
HYDRO_RIVER	1.980000	1.716000	2.046000	2.904000	4.092000	5.082000	5.082000	4.686000	3.630000	2.442000	2.310000	2.244000
IND_COGEN_GAS	2.137328	2.137328	1.498824	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.401769	2.137328	2.137328
IND_BOILER_GAS	0.000000	0.000000	0.382067	1.880891	0.462511	0.000000	0.000000	0.000000	0.996730	0.479123	0.000000	0.000000
IND_BOILER_WOOD	0.829056	0.908978	0.908978	0.908978	0.908978	0.908978	0.908978	0.423253	0.908978	0.908978	0.652541	0.652541
IND_BOILER_WASTE	0.981879	0.901958	1.158395	1.158395	1.158395	0.672671	0.672671	1.158395	1.158395	1.158395	1.158395	1.158395
IND_HEATER_ELEC	0.000000	0.000000	0.000000	0.000000	1.418380	2.366616	2.366616	2.366616	0.884161	0.000000	0.000000	0.000000
DHN_HP_ELEC	0.604052	0.513874	0.604052	0.604052	0.466861	0.492763	0.492763	0.492763	0.566955	0.604052	0.497391	0.604052
DHN_BOILER_GAS	0.813943	0.970939	0.664525	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.307894	0.670128	0.970939
DHN_GEOTHERMAL	1.734840	1.734840	1.734840	0.564136	0.025901	0.000000	0.000000	0.000000	0.442938	1.256136	1.734840	1.734840
DEC_HP_ELEC	5.108927	5.064875	3.875472	1.186541	0.421799	0.421799	0.421799	0.421799	0.931627	2.642018	3.990595	5.849000
DEC_THERMAL_HP_GAS	2.815626	2.697345	1.524072	0.217979	0.000000	0.000000	0.000000	0.000000	0.078472	0.918433	1.759619	3.523215
DEC_BOILER_GAS	2.276857	2.257225	1.727153	0.528797	0.187980	0.187980	0.187980	0.187980	0.415191	1.177448	1.778458	2.606680
DEC_BOILER_OIL	1.138429	1.128612	0.863576	0.264398	0.093990	0.093990	0.093990	0.093990	0.207596	0.588724	0.889229	1.303340
THERMAL_SOLAR	0.155409	0.233113	0.310818	0.310818	0.362621	0.388522	0.388522	0.388522	0.336719	0.259015	0.181310	0.129507
H2_ELECTROLYSIS	0.000000	0.000000	0.000000	0.349367	0.996224	0.996224	0.996224	0.996224	0.996224	0.000000	0.000000	0.000000
H2_FROM_GAS	0.996224	0.996224	0.996224	0.646856	0.000000	0.000000	0.000000	0.000000	0.000000	0.996224	0.996224	0.996224

Resource [GW]
GASOLINE	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987
DIESEL	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141
OIL	1.343346	1.331763	1.019020	0.311990	0.110908	0.110908	0.110908	0.110908	0.244963	0.694694	1.049290	1.537941
NG	12.458641	12.527155	8.921429	3.900109	0.983587	0.484075	0.484075	0.484075	1.865323	7.414528	11.042573	13.468383
WOOD	0.961705	1.054414	1.054414	1.054414	1.054414	1.054414	1.054414	0.490974	1.054414	1.054414	0.756947	0.756947
WASTE	1.197893	1.100389	1.413242	1.413242	1.413242	0.820658	0.820658	1.413242	1.413242	1.413242	1.413242	1.413242

Mobility [Mpkm/h] or [Mtkm/h]
CAR_GASOLINE	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
CAR_DIESEL	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
CAR_PHEV	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295
CAR_BEV	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884
CAR_FC	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
BUS_NG	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442
BUS_FC	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884
TRAIN_PUBLIC	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096
TRAIN_FREIGHT	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559
TRUCK_FREIGHT_FC	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039
