Technology	GWP_construction [ktCO2-eq/y]
PV	3569.773834
WIND	230.454500
HYDRO_DAM	524.013179
HYDRO_RIVER	208.395000
GEOTHERMAL_ELEC	631.534667
IND_BOILER_WOOD	3.395765
IND_BOILER_WASTE	3.316284
IND_HEATER_ELEC	0.394826
DHN_HP_ELEC	11.321554
DHN_GEOTHERMAL	43.726513
DEC_HP_ELEC	66.944055
DEC_THERMAL_HP_GAS	50.654974
DEC_BOILER_WOOD	1.185018
THERMAL_SOLAR	110.600000
DEC_HEATER_ELEC	0.057461
H2_ELECTROLYSIS	0.011291
P2G_INVESTMENT	0.008004

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	2.400000

Resource	GWP_op [ktCO2-eq/y]
ELECTRICITY	50.000000
NG	1069.012896
WOOD	147.348000
WASTE	1671.300000
