Technology	Energy output [GWh/y]
PV	40468.739
WIND	14850.912
HYDRO_DAM	25381.428
HYDRO_RIVER	20914.336
IND_COGEN_GAS	1450.562
IND_BOILER_GAS	10255.095
IND_BOILER_WASTE	9132.787
IND_HEATER_ELEC	13748.348
DHN_HP_ELEC	5976.676
DHN_GEOTHERMAL	5976.676
DEC_HP_ELEC	18431.066
DEC_THERMAL_HP_GAS	7372.426
DEC_BOILER_GAS	8266.889
THERMAL_SOLAR	2791.751
H2_ELECTROLYSIS	2125.239
H2_FROM_GAS	2113.626

Resource	Energy consumption [GWh/y]
ELECTRICITY	5000.000
NG	30854.209
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_BEV	103770.053
BUS_FC	7782.754
TRAIN_PUBLIC	18159.759
TRAIN_FREIGHT	20406.935
TRUCK_FREIGHT_FC	13604.623
