Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
CCGT	22.792250	9.923712
PV	1572.456453	1316.276042
WIND	743.561476	169.460000
HYDRO_DAM	1905.444566	35.780227
HYDRO_RIVER	1140.409501	328.295917
IND_COGEN_GAS	7.976911	8.918975
IND_BOILER_GAS	11.618122	3.011795
IND_BOILER_WASTE	13.950612	3.610711
IND_HEATER_ELEC	119.209871	6.356705
DHN_HP_ELEC	21.371160	12.632404
DHN_GEOTHERMAL	106.542043	75.358164
DEC_HP_ELEC	286.951234	166.105493
DEC_THERMAL_HP_GAS	68.247068	29.854694
DEC_BOILER_GAS	44.107193	17.194604
THERMAL_SOLAR	143.118594	23.484689
H2_ELECTROLYSIS	3.043784	3.902966
H2_FROM_GAS	11.968909	19.232838
P2G_INVESTMENT	0.000000	0.000000

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
ELECTRICITY	456.000000
NG	2349.712965
WASTE	0.000000
