Technology	Installed capacity [GW]
CCGT	0.470318
PV	41.133626
WIND	7.400000
HYDRO_DAM	12.380701
HYDRO_RIVER	4.302699
IND_COGEN_GAS	0.090182
IND_COGEN_WOOD	0.121600
IND_COGEN_WASTE	0.193200
IND_BOILER_GAS	2.390313
IND_BOILER_WASTE	1.467769
IND_HEATER_ELEC	3.948264
DHN_HP_ELEC	0.986907
DHN_COGEN_WOOD	0.121600
DHN_COGEN_WASTE	0.193200
DHN_BOILER_OIL	7.306334
DHN_GEOTHERMAL	1.253880
DEC_HP_ELEC	7.382466
DEC_THERMAL_HP_GAS	2.952987
DEC_BOILER_GAS	3.371491
THERMAL_SOLAR	2.718135
H2_ELECTROLYSIS	0.078059
H2_FROM_GAS	0.279547

Storage technology	Storage capacity [GWh]
HYDRO_STORAGE	2400.000000

Mobility	Passenger [Mpkm/h] or Freight [Mtkm/h]
CAR_BEV	11.845896
BUS_NG	0.888442
TRAIN_PUBLIC	2.073032
TRAIN_FREIGHT	2.329559
TRUCK_FREIGHT_FC	1.553039
