Technology [GW]	1	2	3	4	5	6	7	8	9	10	11	12
CCGT	0.470318	0.470318	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.470318	0.470318	0.470318
PV	2.056681	3.702026	4.936035	6.170044	6.170044	6.581380	6.581380	6.581380	5.347371	3.702026	2.056681	1.645345
WIND	2.368000	2.072000	2.072000	1.332000	1.258000	1.036000	1.110000	1.036000	1.184000	2.072000	2.294000	2.516000
HYDRO_DAM	3.095175	3.095175	2.352333	1.980912	2.599947	3.466596	3.342789	3.218982	3.590403	2.599947	2.599947	2.847561
HYDRO_RIVER	1.290810	1.118702	1.333837	1.893187	2.667673	3.313078	3.313078	3.054916	2.366484	1.591999	1.505945	1.462918
IND_COGEN_GAS	0.090182	0.090182	0.090182	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.090182	0.090182	0.090182
IND_BOILER_GAS	2.390313	2.390313	2.390313	1.054182	0.000000	0.000000	0.000000	0.000000	0.000000	2.390313	2.390313	2.390313
IND_BOILER_WASTE	1.467769	1.467769	1.467769	1.467769	0.837839	0.000000	0.000000	0.000000	1.446426	1.467769	1.467769	1.467769
IND_HEATER_ELEC	0.000000	0.000000	0.000000	1.426313	3.110425	3.948264	3.948264	3.948264	2.501838	0.000000	0.000000	0.000000
DHN_HP_ELEC	0.909639	0.984966	0.898646	0.519149	0.465581	0.492763	0.492763	0.492763	0.510354	0.670202	0.778987	0.986907
DHN_GEOTHERMAL	1.253880	1.253880	1.253880	0.498621	0.027181	0.000000	0.000000	0.000000	0.399331	1.029393	1.253880	1.253880
DEC_HP_ELEC	4.125485	4.091128	3.163502	1.066379	0.469950	0.469950	0.469950	0.469950	0.867569	2.201519	3.253287	4.702675
DEC_THERMAL_HP_GAS	2.162232	2.050881	1.164544	0.100375	0.000000	0.000000	0.000000	0.000000	0.000000	0.608794	1.378347	2.690174
DEC_BOILER_GAS	1.884063	1.868373	1.444736	0.487004	0.214621	0.214621	0.214621	0.214621	0.396209	1.005409	1.485740	2.147660
THERMAL_SOLAR	0.163088	0.244632	0.326176	0.326176	0.380539	0.407720	0.407720	0.407720	0.353358	0.271814	0.190269	0.135907
H2_ELECTROLYSIS	0.000000	0.000000	0.000000	0.078059	0.078059	0.078059	0.078059	0.078059	0.078059	0.000000	0.000000	0.000000
H2_FROM_GAS	0.279547	0.279547	0.279547	0.201488	0.201488	0.201488	0.201488	0.201488	0.201488	0.279547	0.279547	0.279547

Resource [GW]
ELECTRICITY	2.481477	1.044626	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.295420
NG	7.673123	7.581101	5.769213	2.261529	0.753417	0.753417	0.753417	0.753417	0.954980	5.657013	6.705781	8.319435
WASTE	1.790678	1.790678	1.790678	1.790678	1.022163	0.000000	0.000000	0.000000	1.764640	1.790678	1.790678	1.790678

Mobility [Mpkm/h] or [Mtkm/h]
CAR_BEV	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896
BUS_NG	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442
TRAIN_PUBLIC	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032
TRAIN_FREIGHT	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559
TRUCK_FREIGHT_FC	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039
