Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
PV	2175.173458	1820.800000
WIND	743.561476	169.460000
HYDRO_DAM	1905.444566	35.780227
HYDRO_RIVER	1749.298078	503.580000
GEOTHERMAL_ELEC	420.879312	325.500000
IND_BOILER_GAS	17.289641	4.482037
IND_BOILER_WOOD	17.654147	4.569264
IND_BOILER_WASTE	19.872672	5.143465
IND_HEATER_ELEC	119.209871	6.356705
DHN_HP_ELEC	93.209964	55.096023
DHN_BOILER_GAS	8.214414	2.129443
DHN_GEOTHERMAL	388.662748	274.904726
DEC_HP_ELEC	351.151353	203.268576
DEC_THERMAL_HP_GAS	11.750419	5.140223
DEC_BOILER_GAS	47.275393	18.429684
DEC_BOILER_OIL	21.236229	16.442169
THERMAL_SOLAR	526.532276	86.400000
H2_ELECTROLYSIS	38.845967	49.811190
H2_FROM_GAS	42.653685	68.540197
PYROLYSIS	135.174387	64.085613
P2G_INVESTMENT	886.000811	753.147677

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
GASOLINE	474.851763
DIESEL	449.843180
OIL	264.753846
NG	498.502432
WOOD	1141.947000
WASTE	0.000000
