Technology	Energy output [GWh/y]
PV	55505.798
WIND	14850.912
HYDRO_DAM	23771.481
HYDRO_RIVER	27826.373
GEOTHERMAL_ELEC	4905.600
IND_BOILER_GAS	10500.772
IND_BOILER_WOOD	8035.875
IND_BOILER_WASTE	9132.787
IND_HEATER_ELEC	6917.358
DHN_HP_ELEC	7192.897
DHN_BOILER_GAS	4795.264
DHN_GEOTHERMAL	11988.161
DEC_HP_ELEC	22554.681
DEC_THERMAL_HP_GAS	1269.345
DEC_BOILER_GAS	9021.872
DEC_BOILER_OIL	4510.936
THERMAL_SOLAR	7752.527
POWER_TO_GAS_EFF	15474.083
GAS_TO_POWER_EFF	176.362
H2_ELECTROLYSIS	6286.269
H2_FROM_GAS	2440.651
PYROLYSIS	1971.590

Resource	Energy consumption [GWh/y]
GASOLINE	5396.043
DIESEL	5292.273
OIL	3351.315
NG	17803.658
WOOD	12279.000
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_GASOLINE	10377.005
CAR_DIESEL	10377.005
CAR_PHEV	5188.503
CAR_BEV	15565.508
CAR_FC	10377.005
BUS_NG	7782.754
BUS_FC	15565.508
TRAIN_PUBLIC	54479.278
TRAIN_FREIGHT	20406.935
TRUCK_FREIGHT_FC	13604.623
