Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
CCGT	140.851620	61.326590
PV	299.577580	250.771200
WIND	10.249091	2.335800
HYDRO_DAM	1905.444566	35.780227
HYDRO_RIVER	1140.409501	328.295917
IND_COGEN_GAS	61.895040	69.204771
IND_COGEN_WASTE	35.527251	22.952160
IND_BOILER_GAS	12.120344	3.141987
IND_BOILER_WASTE	9.649551	2.497507
DHN_COGEN_GAS	56.864035	28.926078
DHN_BOILER_GAS	5.485588	1.422043
DHN_GEOTHERMAL	141.637326	100.181380
DEC_THERMAL_HP_GAS	90.962818	39.791704
DEC_BOILER_GAS	173.787172	67.748622
DEC_BOILER_OIL	23.129757	17.908235
THERMAL_SOLAR	65.984978	10.827640
H2_FROM_GAS	13.917336	22.363765
P2G_INVESTMENT	0.000000	0.000000

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
GASOLINE	392.665881
DIESEL	449.843180
OIL	458.004184
NG	3807.806494
WASTE	0.000000
