Technology	Energy output [GWh/y]
CCGT	16051.034
PV	7728.141
WIND	204.702
HYDRO_DAM	25381.428
HYDRO_RIVER	18236.559
IND_COGEN_GAS	5210.301
IND_COGEN_WASTE	620.212
IND_BOILER_GAS	20752.075
IND_BOILER_WASTE	8004.204
DHN_COGEN_GAS	4779.592
DHN_BOILER_GAS	3186.395
DHN_GEOTHERMAL	7965.987
DEC_THERMAL_HP_GAS	9826.307
DEC_BOILER_GAS	33164.943
DEC_BOILER_OIL	4913.154
THERMAL_SOLAR	1227.133
H2_FROM_GAS	2448.832

Resource	Energy consumption [GWh/y]
GASOLINE	4462.112
DIESEL	5292.273
OIL	5797.521
NG	135993.089
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_GASOLINE	10377.005
CAR_DIESEL	10377.005
CAR_NG	15565.508
CAR_BEV	15565.508
BUS_NG	23348.262
TRAIN_PUBLIC	54479.278
TRAIN_FREIGHT	20406.935
TRUCK_FREIGHT_FC	13604.623
