Technology	GWP_construction [ktCO2-eq/y]
CCGT	21.368393
PV	652.453374
WIND	3.176535
HYDRO_DAM	524.013179
HYDRO_RIVER	135.857714
IND_COGEN_GAS	28.661551
IND_COGEN_WASTE	5.006198
IND_BOILER_GAS	1.804222
IND_BOILER_WASTE	1.725919
DHN_COGEN_GAS	14.171469
DHN_BOILER_GAS	0.816579
DHN_GEOTHERMAL	44.939933
DEC_THERMAL_HP_GAS	75.155547
DEC_BOILER_GAS	16.487842
DEC_BOILER_OIL	2.442558
THERMAL_SOLAR	13.860382
H2_FROM_GAS	0.000000
P2G_INVESTMENT	0.000000

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	2.400000

Resource	GWP_op [ktCO2-eq/y]
GASOLINE	1561.739300
DIESEL	1693.527267
OIL	1797.231609
NG	36718.134051
WASTE	1671.300000
