Technology	Installed capacity [GW]
CCGT	2.906473
PV	7.836600
WIND	0.102000
HYDRO_DAM	12.380701
HYDRO_RIVER	4.302699
IND_COGEN_GAS	0.699745
IND_COGEN_WOOD	0.121600
IND_COGEN_WASTE	0.193200
IND_BOILER_GAS	2.493640
IND_BOILER_WASTE	1.015247
DHN_COGEN_GAS	0.721709
DHN_COGEN_WOOD	0.121600
DHN_COGEN_WASTE	0.193200
DHN_BOILER_GAS	1.128605
DHN_BOILER_OIL	9.834063
DHN_GEOTHERMAL	1.666911
DEC_THERMAL_HP_GAS	3.935876
DEC_BOILER_GAS	13.284044
DEC_BOILER_OIL	1.967938
THERMAL_SOLAR	1.253199
H2_FROM_GAS	0.325055

Storage technology	Storage capacity [GWh]
HYDRO_STORAGE	2400.000000

Mobility	Passenger [Mpkm/h] or Freight [Mtkm/h]
CAR_GASOLINE	1.184590
CAR_DIESEL	1.184590
CAR_NG	1.776884
CAR_BEV	1.776884
BUS_NG	2.665327
TRAIN_PUBLIC	6.219096
TRAIN_FREIGHT	2.329559
TRUCK_FREIGHT_FC	1.553039
