Technology [GW]	1	2	3	4	5	6	7	8	9	10	11	12
CCGT	2.906473	2.906473	2.906473	2.259395	1.024385	0.000000	0.000000	0.000000	1.342571	2.906473	2.906473	2.906473
PV	0.391830	0.705294	0.940392	1.175490	1.175490	1.253856	1.253856	1.253856	1.018758	0.705294	0.391830	0.313464
WIND	0.032640	0.028560	0.028560	0.018360	0.017340	0.014280	0.015300	0.014280	0.016320	0.028560	0.031620	0.034680
HYDRO_DAM	3.095175	3.095175	2.352333	1.980912	2.599947	3.466596	3.342789	3.218982	3.590403	2.599947	2.599947	2.847561
HYDRO_RIVER	1.290810	1.118702	1.333837	1.893187	2.667673	3.313078	3.313078	3.054916	2.366484	1.591999	1.505945	1.462918
IND_COGEN_GAS	0.699745	0.699745	0.699745	0.699745	0.439377	0.439377	0.439377	0.439377	0.490219	0.699745	0.699745	0.699745
IND_COGEN_WASTE	0.193200	0.193200	0.024944	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.060804	0.193200	0.193200
IND_BOILER_GAS	2.040072	2.212034	2.493640	2.493640	2.493640	2.493640	2.493640	2.493640	2.493640	2.172469	2.040072	2.493640
IND_BOILER_WASTE	1.015247	0.843285	0.729935	0.754879	1.015247	1.015247	1.015247	1.015247	0.964405	1.015247	1.015247	0.561679
DHN_COGEN_GAS	0.721709	0.721709	0.721709	0.513031	0.304364	0.316896	0.329428	0.316896	0.447653	0.721709	0.721709	0.721709
DHN_BOILER_GAS	0.914946	0.939078	0.613152	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.211102	0.585677	1.128605
DHN_GEOTHERMAL	1.666911	1.666911	1.615858	0.494722	0.175867	0.175867	0.163335	0.175867	0.388437	1.101576	1.663858	1.666911
DEC_THERMAL_HP_GAS	2.664895	2.589299	1.576769	0.378413	0.012532	0.000000	0.000000	0.000000	0.252275	1.052128	1.690734	3.315819
DEC_BOILER_GAS	7.684661	7.618399	5.829343	1.784751	0.634454	0.634454	0.634454	0.634454	1.401319	3.974026	6.002506	8.797851
DEC_BOILER_OIL	1.138429	1.128612	0.863576	0.264398	0.093990	0.093990	0.093990	0.093990	0.207596	0.588724	0.889229	1.303340
THERMAL_SOLAR	0.075192	0.112788	0.150384	0.150384	0.175448	0.187980	0.200512	0.187980	0.162916	0.125320	0.087724	0.062660
H2_FROM_GAS	0.279547	0.279547	0.279547	0.279547	0.279547	0.279547	0.279547	0.279547	0.279547	0.279547	0.279547	0.279547

Resource [GW]
GASOLINE	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374
DIESEL	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141
OIL	1.343346	1.331763	1.019020	0.311990	0.110908	0.110908	0.110908	0.110908	0.244963	0.694694	1.049290	1.537941
NG	23.501837	23.589419	20.877306	13.372157	8.799856	7.194017	7.225347	7.194017	10.786168	17.685315	20.626348	25.894203
WASTE	1.667505	1.457711	0.945896	0.920952	1.238601	1.238601	1.238601	1.238601	1.176574	1.373585	1.667505	1.114152

Mobility [Mpkm/h] or [Mtkm/h]
CAR_GASOLINE	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
CAR_DIESEL	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
CAR_NG	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884
CAR_BEV	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884
BUS_NG	2.665327	2.665327	2.665327	2.665327	2.665327	2.665327	2.665327	2.665327	2.665327	2.665327	2.665327	2.665327
TRAIN_PUBLIC	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096
TRAIN_FREIGHT	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559
TRUCK_FREIGHT_FC	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039
