Technology	GWP_construction [ktCO2-eq/y]
PV	4737.334680
WIND	230.454500
HYDRO_DAM	524.013179
HYDRO_RIVER	208.395000
GEOTHERMAL_ELEC	581.676667
IND_BOILER_GAS	2.573719
IND_BOILER_WOOD	3.157622
IND_BOILER_WASTE	3.554427
IND_HEATER_ELEC	0.394826
DHN_HP_ELEC	30.096203
DHN_BOILER_GAS	1.222789
DHN_GEOTHERMAL	123.318326
DEC_HP_ELEC	82.762934
DEC_THERMAL_HP_GAS	9.708463
DEC_BOILER_GAS	4.485194
DEC_BOILER_OIL	2.242597
THERMAL_SOLAR	110.600000
H2_ELECTROLYSIS	0.020921
H2_FROM_GAS	0.000000
PYROLYSIS	0.000000
P2G_INVESTMENT	0.193239

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	2.400000

Resource	GWP_op [ktCO2-eq/y]
GASOLINE	1888.614967
DIESEL	1693.527267
OIL	1038.907497
NG	4806.987738
WOOD	147.348000
WASTE	1671.300000
