Technology	Energy output [GWh/y]
CCGT	13890.364
PV	7728.141
WIND	14850.912
HYDRO_DAM	25381.428
HYDRO_RIVER	18236.559
IND_COGEN_GAS	5556.427
IND_COGEN_WASTE	556.416
IND_BOILER_GAS	3060.261
IND_BOILER_COAL	17293.396
IND_BOILER_WASTE	8120.292
DHN_HP_ELEC	3113.258
DHN_COGEN_GAS	1666.334
DHN_BOILER_GAS	3186.395
DHN_GEOTHERMAL	7965.987
DEC_HP_ELEC	23325.976
DEC_THERMAL_HP_GAS	9826.307
DEC_BOILER_GAS	9826.307
DEC_BOILER_OIL	4913.154
THERMAL_SOLAR	1239.792
H2_FROM_GAS	5146.854

Resource	Energy consumption [GWh/y]
ELECTRICITY	494.629
GASOLINE	5396.043
DIESEL	5292.273
OIL	5797.521
NG	76629.453
COAL	21097.943
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_GASOLINE	10377.005
CAR_DIESEL	10377.005
CAR_PHEV	5188.503
CAR_BEV	15565.508
CAR_FC	10377.005
BUS_NG	23348.262
TRAIN_PUBLIC	54479.278
TRAIN_FREIGHT	20406.935
TRUCK_FREIGHT_FC	13604.623
