source,target,realValue,layerID,layerColor,layerUnit
Gasoline import,Gasoline,5.40,Gasoline,#808080,TWh
Gasoline,Mobility private,4.46,Gasoline,#808080,TWh
Gasoline,Mobility private,0.93,Gasoline,#808080,TWh
Diesel import,Diesel,5.29,Diesel,#D3D3D3,TWh
Diesel,Mobility private,5.29,Diesel,#D3D3D3,TWh
Natural gas import,Natural gas,76.63,Natural gas,#FFD700,TWh
Natural gas,Mobility public,7.24,Natural gas,#FFD700,TWh
Natural gas,Hydrogen,6.85,Natural gas,#FFD700,TWh
Natural gas,Electricity,22.09,Natural gas,#FFD700,TWh
Natural gas,CHP,16.22,Natural gas,#FFD700,TWh
Natural gas,Heat pumps,6.58,Natural gas,#FFD700,TWh
Natural gas,Boilers,17.65,Natural gas,#FFD700,TWh
Electricity import,Electricity,0.49,Electricity,#00BFFF,TWh
Wind,Electricity,14.85,Wind,#FFA500,TWh
Hydro dam,Electricity,25.38,Hydro dam,#00CED1,TWh
Hydro river,Electricity,18.24,Hydro river,#0000FF,TWh
Coal import,Coal,21.10,Coal,#A0522D,TWh
Coal import,Coal CCS,0.00,Coal,#A0522D,TWh
Coal,Boilers,21.10,Coal,#A0522D,TWh
Solar,Electricity,7.73,Solar,#FFFF00,TWh
Solar,Heat LT dec,1.24,Solar,#FFFF00,TWh
Geothermal,DHN,7.97,Geothermal,#FF0000,TWh
Waste,CHP,1.24,Waste,#808000,TWh
Waste,Boilers,9.91,Waste,#808000,TWh
Oil import,Oil,5.80,Oil,#8B008B,TWh
Oil,Boilers,5.80,Oil,#8B008B,TWh
Electricity,Mobility private,1.97,Electricity,#00BFFF,TWh
Electricity,Mobility public,4.90,Electricity,#00BFFF,TWh
Electricity,Freight,1.43,Electricity,#00BFFF,TWh
Electricity,Losses electricity,6.18,Electricity,#00BFFF,TWh
Electricity,Electricity demand,65.29,Electricity,#00BFFF,TWh
Electricity,Heat pumps,8.48,Electricity,#00BFFF,TWh
Hydrogen,Mobility private,2.70,Hydrogen,#FF00FF,TWh
Hydrogen,Freight,2.45,Hydrogen,#FF00FF,TWh
CHP,Electricity,7.66,Electricity,#00BFFF,TWh
CHP,DHN,1.67,Heat LT,#FA8072,TWh
CHP,Heat HT,6.11,Heat HT,#DC143C,TWh
Heat pumps,Heat LT dec,33.15,Heat LT,#FA8072,TWh
Heat pumps,DHN,3.11,Heat LT,#FA8072,TWh
Boilers,Heat LT dec,14.74,Heat LT,#FA8072,TWh
Boilers,DHN,3.19,Heat LT,#FA8072,TWh
Boilers,Heat HT,28.47,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,24.47,Heat LT,#FA8072,TWh
DHN,Losses DHN,1.29,Heat LT,#FA8072,TWh
