Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
PV	2175.173458	1820.800000
WIND	743.561476	169.460000
HYDRO_DAM	1905.444566	35.780227
HYDRO_RIVER	1749.298078	503.580000
GEOTHERMAL_ELEC	420.879312	325.500000
IND_BOILER_GAS	18.403077	4.770675
IND_BOILER_WOOD	17.278615	4.472069
IND_BOILER_WASTE	20.248204	5.240661
IND_HEATER_ELEC	119.209871	6.356705
DHN_HP_ELEC	73.815873	43.632256
DHN_BOILER_GAS	7.844142	2.033457
DHN_GEOTHERMAL	310.604270	219.693248
DEC_HP_ELEC	283.260513	163.969071
DEC_BOILER_GAS	38.966364	15.190520
DEC_BOILER_OIL	17.503792	13.552326
THERMAL_SOLAR	526.532276	86.400000
H2_ELECTROLYSIS	38.845967	49.811190
H2_FROM_GAS	36.457079	58.582872
PYROLYSIS	172.152583	81.616821
P2G_INVESTMENT	932.809894	792.937880

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
GASOLINE	474.851763
DIESEL	449.843180
OIL	149.532229
NG	468.943662
WOOD	1141.947000
WASTE	0.000000
