Technology	Energy output [GWh/y]
PV	55665.811
WIND	14025.072
HYDRO_DAM	25381.428
HYDRO_RIVER	27232.609
GEOTHERMAL_ELEC	4905.600
IND_BOILER_GAS	11177.011
IND_BOILER_WOOD	7359.635
IND_BOILER_WASTE	9132.787
IND_HEATER_ELEC	6917.358
DHN_HP_ELEC	6246.409
DHN_BOILER_GAS	4164.273
DHN_GEOTHERMAL	10410.681
DEC_HP_ELEC	18194.008
DEC_BOILER_GAS	7436.206
DEC_BOILER_OIL	3718.103
THERMAL_SOLAR	7832.714
POWER_TO_GAS_EFF	16337.574
H2_ELECTROLYSIS	6846.819
H2_FROM_GAS	1880.101
PYROLYSIS	2494.549

Resource	Energy consumption [GWh/y]
GASOLINE	5396.043
DIESEL	5292.273
OIL	1892.813
NG	13398.390
WOOD	12279.000
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_GASOLINE	10377.005
CAR_DIESEL	10377.005
CAR_PHEV	5188.503
CAR_BEV	15565.508
CAR_FC	10377.005
BUS_NG	7782.754
BUS_FC	15565.508
TRAIN_PUBLIC	54479.278
TRAIN_FREIGHT	20406.935
TRUCK_FREIGHT_FC	13604.623
