Technology	GWP_construction [ktCO2-eq/y]
PV	4737.334680
WIND	230.454500
HYDRO_DAM	524.013179
HYDRO_RIVER	208.395000
GEOTHERMAL_ELEC	581.676667
IND_BOILER_GAS	2.739464
IND_BOILER_WOOD	3.090454
IND_BOILER_WASTE	3.621595
IND_HEATER_ELEC	0.394826
DHN_HP_ELEC	23.834120
DHN_BOILER_GAS	1.167671
DHN_GEOTHERMAL	98.551247
DEC_HP_ELEC	66.761728
DEC_BOILER_GAS	3.696885
DEC_BOILER_OIL	1.848443
THERMAL_SOLAR	110.600000
H2_ELECTROLYSIS	0.020921
H2_FROM_GAS	0.000000
PYROLYSIS	0.000000
P2G_INVESTMENT	0.203448

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	2.400000

Resource	GWP_op [ktCO2-eq/y]
GASOLINE	1888.614967
DIESEL	1693.527267
OIL	586.772039
NG	3617.565394
WOOD	147.348000
WASTE	1671.300000
