Technology [GW]	1	2	3	4	5	6	7	8	9	10	11	12
PV	2.845000	5.121000	6.828000	8.535000	8.456014	9.104000	9.104000	8.582592	7.397000	5.121000	2.845000	2.276000
WIND	2.368000	2.072000	2.072000	1.332000	1.258000	1.036000	0.000000	1.036000	1.184000	2.072000	2.294000	2.516000
HYDRO_DAM	3.095175	3.095175	2.352333	1.980912	2.599947	3.466596	3.342789	3.218982	3.590403	2.599947	2.599947	2.847561
HYDRO_RIVER	1.980000	1.716000	2.046000	2.904000	4.092000	5.082000	4.086259	4.686000	3.630000	2.442000	2.310000	2.244000
GEOTHERMAL_ELEC	0.700000	0.700000	0.700000	0.700000	0.700000	0.443333	0.000000	0.000000	0.700000	0.700000	0.700000	0.700000
IND_BOILER_GAS	0.000000	0.000000	0.000000	0.000000	3.786250	3.786250	3.786250	3.786250	0.000000	0.000000	0.000000	0.000000
IND_BOILER_WOOD	1.817914	1.817914	1.036982	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.817914	1.817914	1.817914
IND_BOILER_WASTE	2.130350	2.130350	2.130350	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.898386	2.130350	2.130350
IND_HEATER_ELEC	0.000000	0.000000	0.780932	3.948264	0.162014	0.162014	0.162014	0.162014	3.948264	0.231964	0.000000	0.000000
DHN_HP_ELEC	0.000000	1.131441	3.408770	1.207485	0.000000	0.000000	0.000000	0.000000	0.236319	2.567764	0.000000	0.000000
DHN_BOILER_GAS	0.958936	0.000000	0.000000	0.000000	0.492763	0.492763	0.492763	0.492763	0.732925	0.000000	0.371909	1.613854
DHN_GEOTHERMAL	3.655462	3.655462	0.232316	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.252835	3.655462
DEC_HP_ELEC	4.015223	3.645351	4.881948	0.849266	0.000000	0.000000	0.000000	0.000000	0.344939	3.357843	2.544029	5.289076
DEC_BOILER_GAS	1.687895	1.673636	1.288626	0.418218	0.170670	0.170670	0.170670	0.170670	0.335702	0.889356	1.325891	1.927457
DEC_BOILER_OIL	0.843948	0.836818	0.644313	0.209109	0.085335	0.085335	0.085335	0.085335	0.167851	0.444678	0.662945	0.963729
THERMAL_SOLAR	0.600000	0.900000	1.200000	1.200000	0.836285	0.836285	0.836285	0.836285	1.300000	1.000000	0.700000	0.500000
H2_ELECTROLYSIS	0.144729	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.144729	0.144729
H2_FROM_GAS	0.851495	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.851495	0.851495
PYROLYSIS	0.995858	0.174029	0.305601	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.782276	1.137200

Resource [GW]
GASOLINE	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987
DIESEL	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141
OIL	0.000000	0.813416	0.454688	0.246748	0.100696	0.100696	0.100696	0.100696	0.198064	0.524720	0.000000	0.000000
NG	4.317121	2.133153	1.705791	0.341572	0.000000	0.000000	0.000000	0.000000	0.000000	1.262602	3.281306	5.290346
WOOD	3.602568	2.369825	1.661301	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.108780	3.282194	3.814580
WASTE	2.599027	2.599027	2.599027	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.316031	2.599027	2.599027

Mobility [Mpkm/h] or [Mtkm/h]
CAR_GASOLINE	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
CAR_DIESEL	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
CAR_PHEV	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295
CAR_BEV	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884
CAR_FC	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
BUS_NG	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442
BUS_FC	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884
TRAIN_PUBLIC	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096
TRAIN_FREIGHT	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559
TRUCK_FREIGHT_FC	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039
