Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
CCGT	97.807516	42.585250
PV	299.577580	250.771200
WIND	743.561476	169.460000
HYDRO_DAM	1905.444566	35.780227
HYDRO_RIVER	1140.409501	328.295917
IND_COGEN_WASTE	35.527251	22.952160
IND_BOILER_GAS	5.170243	1.340295
IND_BOILER_COAL	20.848233	5.395961
IND_BOILER_WASTE	9.158847	2.370502
DHN_HP_ELEC	6.855112	4.052028
DHN_COGEN_GAS	20.223155	10.287285
DHN_BOILER_GAS	4.464735	1.157404
DHN_GEOTHERMAL	113.983125	80.621310
DEC_THERMAL_HP_GAS	75.818985	33.167031
DEC_BOILER_GAS	144.443401	56.309343
DEC_BOILER_OIL	19.279027	14.926804
THERMAL_SOLAR	59.217337	9.717121
H2_FROM_GAS	29.250878	47.003229
P2G_INVESTMENT	0.000000	0.000000

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
GASOLINE	392.665881
DIESEL	449.843180
OIL	381.753919
NG	3025.213364
COAL	632.938290
WASTE	0.000000
