Technology	Installed capacity [GW]
CCGT	2.018258
PV	7.836600
WIND	7.400000
HYDRO_DAM	12.380701
HYDRO_RIVER	4.302699
IND_COGEN_WOOD	0.121600
IND_COGEN_WASTE	0.193200
IND_BOILER_GAS	1.063726
IND_BOILER_COAL	2.193480
IND_BOILER_WASTE	0.963619
DHN_HP_ELEC	0.316565
DHN_COGEN_GAS	0.256669
DHN_COGEN_WOOD	0.121600
DHN_COGEN_WASTE	0.193200
DHN_BOILER_GAS	0.918575
DHN_BOILER_OIL	7.981915
DHN_GEOTHERMAL	1.341453
DEC_THERMAL_HP_GAS	3.280616
DEC_BOILER_GAS	11.041048
DEC_BOILER_OIL	1.640308
THERMAL_SOLAR	1.124667
H2_FROM_GAS	0.683186

Storage technology	Storage capacity [GWh]
HYDRO_STORAGE	2400.000000

Mobility	Passenger [Mpkm/h] or Freight [Mtkm/h]
CAR_GASOLINE	1.184590
CAR_DIESEL	1.184590
CAR_NG	0.592295
CAR_BEV	1.776884
CAR_FC	1.184590
BUS_NG	2.665327
TRAIN_PUBLIC	6.219096
TRAIN_FREIGHT	2.329559
TRUCK_FREIGHT_FC	1.553039
