End use [GW]	1	2	3	4	5	6	7	8	9	10	11	12
ELECTRICITY	9.230606	9.029094	8.567847	8.198950	7.976237	7.441519	7.560658	7.488794	8.272415	8.759815	9.522904	9.665797	
HEAT_HIGH_T	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	
HEAT_LOW_T_DHN	7.063600	7.001844	5.334432	1.564847	0.492763	0.492763	0.492763	0.492763	1.207485	3.605265	5.495821	8.101101	
HEAT_LOW_T_DECEN	15.657647	15.520754	11.824658	3.468744	1.092291	1.092291	1.092291	1.092291	2.676593	7.991670	12.182404	17.957440	

Mobility [Mpkm/h] or [Mtkm/h]
MOB_PUBLIC	8.884422	8.884422	8.884422	8.884422	8.884422	8.884422	8.884422	8.884422	8.884422	8.884422	8.884422	8.884422	
MOB_PRIVATE	5.922948	5.922948	5.922948	5.922948	5.922948	5.922948	5.922948	5.922948	5.922948	5.922948	5.922948	5.922948	
MOB_FREIGHT_RAIL	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	
MOB_FREIGHT_ROAD	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	
