Technology	GWP_construction [ktCO2-eq/y]
PV	4737.334680
WIND	230.454500
HYDRO_DAM	524.013179
HYDRO_RIVER	208.395000
GEOTHERMAL_ELEC	581.676667
IND_BOILER_GAS	2.554759
IND_BOILER_WOOD	3.157622
IND_BOILER_WASTE	3.554427
IND_HEATER_ELEC	0.394826
DHN_HP_ELEC	23.606542
DHN_BOILER_GAS	1.060074
DHN_GEOTHERMAL	151.055058
DEC_HP_ELEC	97.839615
DEC_THERMAL_HP_GAS	22.918386
DEC_BOILER_GAS	5.302249
DEC_BOILER_OIL	2.651124
THERMAL_SOLAR	110.600000
H2_ELECTROLYSIS	0.020921
H2_FROM_GAS	0.000000
PYROLYSIS	0.000000
P2G_INVESTMENT	0.191802

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	2.400000

Resource	GWP_op [ktCO2-eq/y]
GASOLINE	1888.614967
DIESEL	1693.527267
OIL	1358.046090
NG	6238.745088
WOOD	147.348000
WASTE	1671.300000
