Technology	Installed capacity [GW]
PV	56.900000
WIND	7.400000
HYDRO_DAM	12.380701
HYDRO_RIVER	6.600000
GEOTHERMAL_ELEC	0.700000
IND_COGEN_WOOD	0.121600
IND_COGEN_WASTE	0.193200
IND_BOILER_GAS	3.530968
IND_BOILER_WOOD	1.857424
IND_BOILER_WASTE	2.090839
IND_HEATER_ELEC	3.948264
DHN_HP_ELEC	3.376222
DHN_COGEN_WOOD	0.121600
DHN_COGEN_WASTE	0.193200
DHN_BOILER_GAS	1.465143
DHN_BOILER_OIL	5.443104
DHN_GEOTHERMAL	5.602932
DEC_HP_ELEC	10.679885
DEC_THERMAL_HP_GAS	1.200230
DEC_BOILER_GAS	4.271954
DEC_BOILER_OIL	2.135977
THERMAL_SOLAR	10.000000
P2G_INVESTMENT	4.795049
H2_ELECTROLYSIS	0.996224
H2_FROM_GAS	0.996224
PYROLYSIS	0.865837

Storage technology	Storage capacity [GWh]
HYDRO_STORAGE	2400.000000

Mobility	Passenger [Mpkm/h] or Freight [Mtkm/h]
CAR_GASOLINE	1.184590
CAR_DIESEL	1.184590
CAR_PHEV	0.592295
CAR_BEV	1.776884
CAR_FC	1.184590
BUS_NG	0.888442
BUS_FC	1.776884
TRAIN_PUBLIC	6.219096
TRAIN_FREIGHT	2.329559
TRUCK_FREIGHT_FC	1.553039
