Technology [GW]	1	2	3	4	5	6	7	8	9	10	11	12
PV	2.845000	5.121000	6.828000	8.535000	8.535000	9.104000	9.104000	9.104000	7.397000	5.121000	2.845000	2.276000
WIND	2.368000	2.072000	2.072000	1.332000	1.258000	1.036000	1.110000	1.036000	1.184000	2.072000	2.294000	2.516000
HYDRO_DAM	3.095175	3.095175	2.352333	1.980912	2.599947	1.207370	3.342789	3.218982	3.590403	2.599947	2.599947	2.847561
HYDRO_RIVER	1.980000	1.716000	2.046000	2.904000	3.871141	5.082000	5.082000	3.824157	3.630000	2.442000	2.310000	2.244000
GEOTHERMAL_ELEC	0.700000	0.700000	0.700000	0.700000	0.700000	0.000000	0.000000	0.429032	0.700000	0.700000	0.700000	0.700000
IND_BOILER_GAS	0.000000	0.000000	0.000000	0.000000	3.530968	3.530968	3.530968	3.530968	0.000000	0.000000	0.000000	0.000000
IND_BOILER_WOOD	1.857424	1.857424	1.857424	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.857424	1.857424	1.857424
IND_BOILER_WASTE	2.090839	2.090839	2.090839	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.090839	2.090839	2.090839
IND_HEATER_ELEC	0.000000	0.000000	0.000000	3.948264	0.417296	0.417296	0.417296	0.417296	3.948264	0.000000	0.000000	0.000000
DHN_HP_ELEC	0.000000	2.488350	3.376222	1.408787	0.000000	0.000000	0.000000	0.000000	0.659658	3.081396	0.000000	0.000000
DHN_BOILER_GAS	1.210030	0.000000	1.426218	0.000000	0.443620	0.443620	0.443620	0.443620	0.427408	0.000000	0.891496	1.465143
DHN_GEOTHERMAL	4.924013	3.815213	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.164323	3.831119	5.602932
DEC_HP_ELEC	5.668247	6.379194	7.252397	1.279496	0.000000	0.000000	0.000000	0.000000	0.613258	4.548212	4.176998	6.733244
DEC_THERMAL_HP_GAS	0.704440	0.698281	0.531993	0.156059	0.049142	0.049142	0.049142	0.049142	0.120420	0.359546	0.548088	0.807908
DEC_BOILER_GAS	2.507299	2.485378	1.893512	0.555459	0.174911	0.174911	0.174911	0.174911	0.428610	1.279726	1.950799	2.875570
DEC_BOILER_OIL	1.253649	1.242689	0.946756	0.277729	0.087456	0.087456	0.087456	0.087456	0.214305	0.639863	0.975400	1.437785
THERMAL_SOLAR	0.600000	0.900000	1.200000	1.200000	0.780782	0.780782	0.780782	0.780782	1.300000	1.000000	0.700000	0.500000
H2_ELECTROLYSIS	0.000000	0.000000	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.764811	0.000000	0.000000
H2_FROM_GAS	0.996224	0.996224	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.231413	0.996224	0.996224
PYROLYSIS	0.865837	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.865837	0.865837

Resource [GW]
GASOLINE	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987
DIESEL	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141
OIL	0.613469	1.466373	1.117172	0.327721	0.103198	0.103198	0.103198	0.103198	0.252880	0.755039	0.285134	0.830749
NG	7.545546	4.827012	4.273966	0.743056	0.000000	0.000000	0.000000	0.000000	0.000000	2.244588	5.095817	6.982570
WOOD	3.453368	2.154612	2.154612	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.154612	3.453368	3.453368
WASTE	2.550824	2.550824	2.550824	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.550824	2.550824	2.550824

Mobility [Mpkm/h] or [Mtkm/h]
CAR_GASOLINE	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
CAR_DIESEL	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
CAR_PHEV	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295
CAR_BEV	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884
CAR_FC	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
BUS_NG	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442
BUS_FC	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884
TRAIN_PUBLIC	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096
TRAIN_FREIGHT	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559
TRUCK_FREIGHT_FC	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039
