Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
CCGT	79.152376	34.462829
PV	299.577580	250.771200
WIND	743.561476	169.460000
HYDRO_DAM	1905.444566	35.780227
HYDRO_RIVER	1140.409501	328.295917
IND_COGEN_WASTE	35.527251	22.952160
IND_BOILER_GAS	5.170243	1.340295
IND_BOILER_COAL	20.848233	5.395961
IND_BOILER_WASTE	9.158847	2.370502
DHN_HP_ELEC	6.934838	4.099154
DHN_COGEN_GAS	44.549899	22.662019
DHN_BOILER_GAS	6.568859	1.702862
DHN_GEOTHERMAL	172.281036	121.855956
DEC_THERMAL_HP_GAS	106.106652	46.416377
DEC_BOILER_GAS	203.790454	79.445003
DEC_BOILER_OIL	26.980486	20.889665
THERMAL_SOLAR	65.984978	10.827640
H2_FROM_GAS	29.250878	47.003229
P2G_INVESTMENT	0.000000	0.000000

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
GASOLINE	392.665881
DIESEL	449.843180
OIL	534.254450
NG	3610.670098
COAL	632.938290
WASTE	0.000000
