End use [GW]	1	2	3	4	5	6	7	8	9	10	11	12
ELECTRICITY	9.057141	8.798940	8.226620	7.723228	7.374638	6.926330	6.888419	6.855405	7.748325	8.511972	9.414200	9.589538	
HEAT_HIGH_T	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	
HEAT_LOW_T_DHN	7.063600	7.001844	5.334432	1.564847	0.492763	0.492763	0.492763	0.492763	1.207485	3.605265	5.495821	8.101101	
HEAT_LOW_T_DECEN	15.657647	15.520754	11.824658	3.468744	1.092291	1.092291	1.092291	1.092291	2.676593	7.991670	12.182404	17.957440	

Mobility [Mpkm/h] or [Mtkm/h]
MOB_PUBLIC	8.884422	8.884422	8.884422	8.884422	8.884422	8.884422	8.884422	8.884422	8.884422	8.884422	8.884422	8.884422	
MOB_PRIVATE	5.922948	5.922948	5.922948	5.922948	5.922948	5.922948	5.922948	5.922948	5.922948	5.922948	5.922948	5.922948	
MOB_FREIGHT_RAIL	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	
MOB_FREIGHT_ROAD	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	
