Technology [GW]	1	2	3	4	5	6	7	8	9	10	11	12
CCGT	1.633309	1.633309	1.633309	1.633309	0.668701	0.000000	0.000000	0.000000	0.646288	1.633309	1.633309	1.633309
PV	0.391830	0.705294	0.940392	1.175490	1.175490	1.253856	1.253856	1.253856	1.018758	0.705294	0.391830	0.313464
WIND	2.368000	2.072000	2.072000	1.332000	1.258000	1.036000	1.110000	1.036000	1.184000	2.072000	2.294000	2.516000
HYDRO_DAM	3.095175	3.095175	2.352333	1.980912	2.599947	3.466596	3.342789	3.218982	3.590403	2.599947	2.599947	2.847561
HYDRO_RIVER	1.290810	1.118702	1.333837	1.893187	2.667673	3.313078	3.313078	3.054916	2.366484	1.591999	1.505945	1.462918
IND_COGEN_WASTE	0.193200	0.193200	0.193200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.193200	0.193200	0.193200
IND_BOILER_GAS	1.063726	1.063726	1.063726	1.063726	1.063726	0.918989	1.063726	1.063726	1.063726	1.028304	0.597965	1.063726
IND_BOILER_COAL	1.727719	1.727719	1.727719	1.920919	1.920919	2.193480	2.193480	2.193480	1.920919	1.763141	2.193480	2.193480
IND_BOILER_WASTE	0.963619	0.963619	0.963619	0.963619	0.963619	0.835795	0.691058	0.691058	0.963619	0.963619	0.963619	0.497858
DHN_HP_ELEC	0.320246	0.320246	0.320246	0.057632	0.307714	0.320246	0.320246	0.320246	0.320246	0.320246	0.320246	0.320246
DHN_COGEN_GAS	0.565420	0.565420	0.565420	0.512786	0.000000	0.000000	0.012532	0.000000	0.166781	0.565420	0.565420	0.565420
DHN_BOILER_GAS	1.085525	1.106545	0.696577	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.207373	0.677237	1.351478
DHN_GEOTHERMAL	2.027553	2.027553	1.867586	0.547853	0.172516	0.172516	0.159984	0.172516	0.422741	1.262204	1.924088	2.027553
DEC_THERMAL_HP_GAS	3.064855	2.982080	1.884603	0.446576	0.012532	0.000000	0.000000	0.000000	0.297717	1.250022	2.008830	3.836404
DEC_BOILER_GAS	9.142730	9.062796	6.904592	2.025450	0.637805	0.637805	0.637805	0.637805	1.562902	4.666453	7.113485	10.485613
DEC_BOILER_OIL	1.347316	1.335537	1.017494	0.298480	0.093990	0.093990	0.093990	0.093990	0.230317	0.687671	1.048277	1.545210
THERMAL_SOLAR	0.075192	0.112788	0.150384	0.150384	0.175448	0.187980	0.200512	0.187980	0.162916	0.125320	0.087724	0.062660
H2_FROM_GAS	0.587540	0.587540	0.587540	0.587540	0.587540	0.587540	0.587540	0.587540	0.587540	0.587540	0.587540	0.587540

Resource [GW]
GASOLINE	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374	0.509374
DIESEL	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141
OIL	1.589833	1.575934	1.200642	0.352206	0.110908	0.110908	0.110908	0.110908	0.271774	0.811452	1.236967	1.823348
NG	20.425567	20.304083	16.730401	9.467187	4.820400	3.592453	3.780099	3.748769	6.419647	13.254302	16.521595	22.720333
COAL	2.107817	2.107817	2.107817	2.343521	2.343521	2.676046	2.676046	2.676046	2.343521	2.151032	2.676046	2.676046
WASTE	1.604519	1.604519	1.604519	1.175615	1.175615	1.019669	0.843091	0.843091	1.175615	1.604519	1.604519	1.036291

Mobility [Mpkm/h] or [Mtkm/h]
CAR_GASOLINE	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
CAR_DIESEL	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
CAR_NG	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295
CAR_BEV	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884
CAR_FC	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
BUS_NG	2.665327	2.665327	2.665327	2.665327	2.665327	2.665327	2.665327	2.665327	2.665327	2.665327	2.665327	2.665327
TRAIN_PUBLIC	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096
TRAIN_FREIGHT	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559
TRUCK_FREIGHT_FC	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039
