source,target,realValue,layerID,layerColor,layerUnit
Natural gas import,Natural gas,60.48,Natural gas,#FFD700,TWh
Natural gas,Mobility public,2.41,Natural gas,#FFD700,TWh
Natural gas,Hydrogen,2.91,Natural gas,#FFD700,TWh
Natural gas,Electricity,1.27,Natural gas,#FFD700,TWh
Natural gas,CHP,25.63,Natural gas,#FFD700,TWh
Natural gas,Heat pumps,4.94,Natural gas,#FFD700,TWh
Natural gas,Boilers,23.31,Natural gas,#FFD700,TWh
Electricity import,Electricity,5.00,Electricity,#00BFFF,TWh
Wind,Electricity,14.85,Wind,#FFA500,TWh
Hydro dam,Electricity,25.38,Hydro dam,#00CED1,TWh
Hydro river,Electricity,18.24,Hydro river,#0000FF,TWh
Solar,Electricity,15.98,Solar,#FFFF00,TWh
Solar,Heat LT dec,2.64,Solar,#FFFF00,TWh
Geothermal,DHN,5.98,Geothermal,#FF0000,TWh
Waste,Boilers,11.14,Waste,#808000,TWh
Electricity,Mobility private,11.41,Electricity,#00BFFF,TWh
Electricity,Mobility public,1.63,Electricity,#00BFFF,TWh
Electricity,Freight,1.43,Electricity,#00BFFF,TWh
Electricity,Losses electricity,6.41,Electricity,#00BFFF,TWh
Electricity,Electricity demand,65.29,Electricity,#00BFFF,TWh
Electricity,Heat pumps,4.70,Electricity,#00BFFF,TWh
Electricity,Heat HT,0.71,Electricity,#00BFFF,TWh
Hydrogen,Freight,2.45,Hydrogen,#FF00FF,TWh
CHP,Electricity,11.34,Electricity,#00BFFF,TWh
CHP,Heat HT,11.81,Heat HT,#DC143C,TWh
Heat pumps,Heat LT dec,25.80,Heat LT,#FA8072,TWh
Heat pumps,DHN,5.98,Heat LT,#FA8072,TWh
Boilers,Heat LT dec,8.42,Heat LT,#FA8072,TWh
Boilers,Heat HT,22.07,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,18.36,Heat LT,#FA8072,TWh
DHN,Losses DHN,0.97,Heat LT,#FA8072,TWh
