Technology	Energy output [GWh/y]
PV	47881.721
WIND	11572.416
HYDRO_DAM	25381.428
HYDRO_RIVER	27973.440
GEOTHERMAL_ELEC	4414.080
IND_BOILER_GAS	1364.198
IND_BOILER_WOOD	6796.411
IND_BOILER_WASTE	9132.787
IND_HEATER_ELEC	17293.396
DHN_HP_ELEC	6631.372
DHN_GEOTHERMAL	6631.372
DEC_HP_ELEC	18103.717
DEC_THERMAL_HP_GAS	5672.352
THERMAL_SOLAR	7813.939
DEC_HEATER_ELEC	4617.427
POWER_TO_GAS_EFF	2260.164
H2_ELECTROLYSIS	4035.478
H2_FROM_GAS	203.388
GASIFICATION_SNG	3255.676

Resource	Energy consumption [GWh/y]
ELECTRICITY	5000.000
WOOD	12279.000
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_BEV	103770.053
BUS_FC	7782.754
TRAIN_PUBLIC	18159.759
TRAIN_FREIGHT	20406.935
TRUCK_FREIGHT_FC	13604.623
