Technology	Installed capacity [GW]
PV	53.871933
WIND	7.400000
HYDRO_DAM	12.380701
HYDRO_RIVER	6.600000
GEOTHERMAL_ELEC	0.760000
IND_COGEN_WOOD	0.121600
IND_COGEN_WASTE	0.193200
IND_BOILER_GAS	0.371514
IND_BOILER_WOOD	1.555955
IND_BOILER_WASTE	2.392309
IND_HEATER_ELEC	3.948264
DHN_HP_ELEC	1.356359
DHN_COGEN_WOOD	0.121600
DHN_COGEN_WASTE	0.193200
DHN_BOILER_OIL	6.179819
DHN_GEOTHERMAL	2.010941
DEC_HP_ELEC	7.251349
DEC_THERMAL_HP_GAS	2.272031
THERMAL_SOLAR	10.000000
DEC_HEATER_ELEC	1.849486
P2G_INVESTMENT	0.580127
H2_ELECTROLYSIS	0.511857
H2_FROM_GAS	0.068898
GASIFICATION_SNG	0.969689

Storage technology	Storage capacity [GWh]
HYDRO_STORAGE	2400.000000

Mobility	Passenger [Mpkm/h] or Freight [Mtkm/h]
CAR_BEV	11.845896
BUS_FC	0.888442
TRAIN_PUBLIC	2.073032
TRAIN_FREIGHT	2.329559
TRUCK_FREIGHT_FC	1.553039
