Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
CCGT	6.927746	3.016331
PV	1681.930599	1407.914952
WIND	743.561476	169.460000
HYDRO_DAM	1905.444566	35.780227
HYDRO_RIVER	1140.409501	328.295917
IND_COGEN_GAS	21.135556	23.631639
IND_BOILER_GAS	10.927378	2.832731
IND_BOILER_WASTE	13.887412	3.594354
IND_HEATER_ELEC	119.209871	6.356705
DHN_HP_ELEC	21.038097	12.435532
DHN_GEOTHERMAL	106.922692	75.627400
DEC_HP_ELEC	286.951234	166.105493
DEC_THERMAL_HP_GAS	68.247068	29.854694
DEC_BOILER_GAS	43.319212	16.887420
THERMAL_SOLAR	154.783383	25.398793
H2_ELECTROLYSIS	18.868378	24.194439
H2_FROM_GAS	20.717874	33.291548
P2G_INVESTMENT	0.000000	0.000000

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
ELECTRICITY	456.000000
NG	2294.577021
WASTE	0.000000
