Technology [GW]	1	2	3	4	5	6	7	8	9	10	11	12
CCGT	0.142954	0.142954	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.142954	0.142954	0.142954
PV	2.199867	3.959761	5.279681	6.599601	6.599601	7.039575	7.039575	7.039575	5.719654	3.959761	2.199867	1.759894
WIND	2.368000	2.072000	2.072000	1.332000	1.258000	1.036000	1.110000	1.036000	1.184000	2.072000	2.294000	2.516000
HYDRO_DAM	3.095175	3.095175	2.352333	1.980912	2.599947	3.466596	3.342789	3.218982	3.590403	2.599947	2.599947	2.847561
HYDRO_RIVER	1.290810	1.118702	1.333837	1.893187	2.667673	3.313078	3.313078	3.054916	2.366484	1.591999	1.505945	1.462918
IND_COGEN_GAS	0.238945	0.238945	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.238945	0.238945	0.238945
IND_BOILER_GAS	2.248200	2.248200	2.248200	1.090504	0.000000	0.000000	0.000000	0.000000	0.068897	2.248200	2.248200	2.248200
IND_BOILER_WASTE	1.461120	1.461120	1.461120	1.461120	0.869092	0.000000	0.000000	0.000000	1.461120	1.461120	1.461120	1.461120
IND_HEATER_ELEC	0.000000	0.000000	0.238945	1.396640	3.079172	3.948264	3.948264	3.948264	2.418247	0.000000	0.000000	0.000000
DHN_HP_ELEC	0.889273	0.971526	0.899420	0.537033	0.492763	0.492763	0.492763	0.492763	0.532075	0.674394	0.767952	0.959615
DHN_GEOTHERMAL	1.258359	1.258359	1.258359	0.507321	0.000000	0.000000	0.000000	0.000000	0.377609	1.047354	1.258359	1.258359
DEC_HP_ELEC	4.125485	4.091128	3.163502	1.066379	0.469950	0.469950	0.469950	0.469950	0.867569	2.201519	3.253287	4.702675
DEC_THERMAL_HP_GAS	2.178119	2.059842	1.159290	0.073791	0.000000	0.000000	0.000000	0.000000	0.000000	0.586640	1.384902	2.712985
DEC_BOILER_GAS	1.850404	1.834994	1.418926	0.478303	0.210787	0.210787	0.210787	0.210787	0.389131	0.987448	1.459197	2.109291
THERMAL_SOLAR	0.176381	0.264571	0.352761	0.352761	0.411555	0.411555	0.411555	0.411555	0.382158	0.293968	0.205777	0.146984
H2_ELECTROLYSIS	0.000000	0.000000	0.000000	0.483889	0.483889	0.483889	0.483889	0.483889	0.483889	0.000000	0.000000	0.000000
H2_FROM_GAS	0.483889	0.483889	0.483889	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.483889	0.483889	0.483889

Resource [GW]
ELECTRICITY	2.519120	0.968986	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.326097
NG	7.262979	7.166628	5.355615	1.758101	0.233973	0.233973	0.233973	0.233973	0.506344	5.238806	6.297284	7.908704
WASTE	1.782566	1.782566	1.782566	1.782566	1.060292	0.000000	0.000000	0.000000	1.782566	1.782566	1.782566	1.782566

Mobility [Mpkm/h] or [Mtkm/h]
CAR_BEV	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896
BUS_FC	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442
TRAIN_PUBLIC	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032
TRAIN_FREIGHT	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559
TRUCK_FREIGHT_FC	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039
