Technology	Installed capacity [GW]
PV	45.464298
WIND	7.400000
HYDRO_DAM	12.380701
HYDRO_RIVER	6.600000
GEOTHERMAL_ELEC	0.760000
IND_COGEN_WOOD	0.121600
IND_COGEN_WASTE	0.193200
IND_BOILER_WOOD	1.730307
IND_BOILER_WASTE	2.217957
IND_HEATER_ELEC	3.948264
DHN_HP_ELEC	1.218828
DHN_COGEN_WOOD	0.121600
DHN_COGEN_WASTE	0.193200
DHN_BOILER_OIL	4.676515
DHN_GEOTHERMAL	1.876498
DEC_HP_ELEC	5.991857
DEC_THERMAL_HP_GAS	1.418925
THERMAL_SOLAR	10.000000
DEC_HEATER_ELEC	1.382514
P2G_INVESTMENT	0.120142
H2_ELECTROLYSIS	0.522395
H2_FROM_GAS	0.040753
GASIFICATION_SNG	0.587890

Storage technology	Storage capacity [GWh]
HYDRO_STORAGE	2400.000000

Mobility	Passenger [Mpkm/h] or Freight [Mtkm/h]
CAR_BEV	11.845896
BUS_FC	0.888442
TRAIN_PUBLIC	2.073032
TRAIN_FREIGHT	2.329559
TRUCK_FREIGHT_FC	1.553039
