End use [GW]	1	2	3	4	5	6	7	8	9	10	11	12
ELECTRICITY	9.202567	8.937189	8.336081	7.913049	7.676850	7.298619	7.259612	7.227695	7.990977	8.578576	9.387733	9.773628	
HEAT_HIGH_T	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	
HEAT_LOW_T_DHN	3.559153	3.530334	2.752209	0.993069	0.492763	0.492763	0.492763	0.492763	0.826300	1.945264	2.827523	4.043320	
HEAT_LOW_T_DECEN	7.889457	7.825574	6.100729	2.201302	1.092291	1.092291	1.092291	1.092291	1.831632	4.312001	6.267677	8.962694	

Mobility [Mpkm/h] or [Mtkm/h]
MOB_PUBLIC	2.961474	2.961474	2.961474	2.961474	2.961474	2.961474	2.961474	2.961474	2.961474	2.961474	2.961474	2.961474	
MOB_PRIVATE	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	
MOB_FREIGHT_RAIL	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	
MOB_FREIGHT_ROAD	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	
