Technology	Energy output [GWh/y]
CCGT	1395.154
PV	40508.231
WIND	14850.912
HYDRO_DAM	25381.428
HYDRO_RIVER	18236.559
IND_BOILER_GAS	11554.917
IND_BOILER_WASTE	9132.787
IND_HEATER_ELEC	13899.088
DHN_HP_ELEC	5048.330
DHN_GEOTHERMAL	5048.330
DEC_HP_ELEC	15568.204
DEC_THERMAL_HP_GAS	6227.282
DEC_BOILER_GAS	6599.808
THERMAL_SOLAR	2741.115
H2_ELECTROLYSIS	342.837
H2_FROM_GAS	2105.996

Resource	Energy consumption [GWh/y]
ELECTRICITY	5000.000
NG	31114.459
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_BEV	103770.053
BUS_NG	7782.754
TRAIN_PUBLIC	18159.759
TRAIN_FREIGHT	20406.935
TRUCK_FREIGHT_FC	13604.623
