Technology	GWP_construction [ktCO2-eq/y]
CCGT	2.830345
PV	3419.933751
WIND	230.454500
HYDRO_DAM	524.013179
HYDRO_RIVER	135.857714
IND_BOILER_GAS	1.792378
IND_BOILER_WASTE	2.500689
IND_HEATER_ELEC	0.394826
DHN_HP_ELEC	5.263891
DHN_GEOTHERMAL	27.887847
DEC_HP_ELEC	57.126512
DEC_THERMAL_HP_GAS	47.628753
DEC_BOILER_GAS	3.281073
THERMAL_SOLAR	31.197752
H2_ELECTROLYSIS	0.001470
H2_FROM_GAS	0.000000
P2G_INVESTMENT	0.000000

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	2.400000

Resource	GWP_op [ktCO2-eq/y]
ELECTRICITY	50.000000
NG	8400.903944
WASTE	1671.300000
