Technology [GW]	1	2	3	4	5	6	7	8	9	10	11	12
CCGT	0.384976	0.384976	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.384976	0.384976	0.384976
PV	2.053837	3.696906	4.929208	6.161510	6.161510	6.572277	6.572277	6.572277	5.339975	3.696906	2.053837	1.643069
WIND	2.368000	2.072000	2.072000	1.332000	1.258000	1.036000	1.110000	1.036000	1.184000	2.072000	2.294000	2.516000
HYDRO_DAM	3.095175	3.095175	2.352333	1.980912	2.599947	3.466596	3.342789	3.218982	3.590403	2.599947	2.599947	2.847561
HYDRO_RIVER	1.290810	1.118702	1.333837	1.893187	2.667673	3.313078	3.313078	3.054916	2.366484	1.591999	1.505945	1.462918
IND_BOILER_GAS	2.477271	2.477271	2.477271	1.019721	0.000000	0.000000	0.000000	0.000000	0.000000	2.477271	2.477271	2.477271
IND_BOILER_WASTE	1.470993	1.470993	1.470993	1.470993	0.837135	0.000000	0.000000	0.000000	1.424367	1.470993	1.470993	1.470993
IND_HEATER_ELEC	0.000000	0.000000	0.000000	1.457550	3.111129	3.948264	3.948264	3.948264	2.523897	0.000000	0.000000	0.000000
DHN_HP_ELEC	0.672295	0.752845	0.727488	0.478852	0.464555	0.492763	0.492763	0.492763	0.483489	0.557020	0.597095	0.712519
DHN_GEOTHERMAL	1.034416	1.034416	1.034416	0.473872	0.028208	0.000000	0.000000	0.000000	0.342811	0.928239	1.034416	1.034416
DEC_HP_ELEC	3.394378	3.366893	2.624791	0.947093	0.469950	0.469950	0.469950	0.469950	0.788045	1.855205	2.696620	3.856130
DEC_THERMAL_HP_GAS	1.852443	1.743074	0.990305	0.040345	0.000000	0.000000	0.000000	0.000000	0.000000	0.460005	1.196013	2.296386
DEC_BOILER_GAS	1.438974	1.427322	1.112724	0.401500	0.199225	0.199225	0.199225	0.199225	0.334075	0.786475	1.143174	1.634724
THERMAL_SOLAR	0.169246	0.253870	0.338493	0.338493	0.394908	0.423116	0.423116	0.423116	0.366701	0.282077	0.197454	0.141039
H2_ELECTROLYSIS	0.000000	0.000000	0.047596	0.069997	0.069997	0.069997	0.069997	0.069997	0.069997	0.000000	0.000000	0.000000
H2_FROM_GAS	0.279547	0.279547	0.231951	0.209550	0.209550	0.209550	0.209550	0.209550	0.209550	0.279547	0.279547	0.279547

Resource [GW]
ELECTRICITY	2.455625	1.023482	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.340369
NG	6.734040	6.647830	5.125520	2.098776	0.745922	0.745922	0.745922	0.745922	0.895605	5.076833	5.965895	7.248764
WASTE	1.794612	1.794612	1.794612	1.794612	1.021305	0.000000	0.000000	0.000000	1.737728	1.794612	1.794612	1.794612

Mobility [Mpkm/h] or [Mtkm/h]
CAR_BEV	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896	11.845896
BUS_NG	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442
TRAIN_PUBLIC	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032	2.073032
TRAIN_FREIGHT	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559
TRUCK_FREIGHT_FC	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039
