Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
PV	2120.218849	1774.798450
WIND	743.561476	169.460000
HYDRO_DAM	1905.444566	35.780227
HYDRO_RIVER	1749.298078	503.580000
GEOTHERMAL_ELEC	456.954681	353.400000
IND_BOILER_GAS	1.575163	0.408334
IND_BOILER_WOOD	15.167836	3.925755
IND_BOILER_WASTE	22.358983	5.786974
IND_HEATER_ELEC	119.209871	6.356705
DHN_HP_ELEC	35.693121	21.098056
DHN_GEOTHERMAL	182.279884	128.928233
DEC_HP_ELEC	332.855007	192.677496
DEC_THERMAL_HP_GAS	79.164595	34.630569
THERMAL_SOLAR	526.532276	86.400000
DEC_HEATER_ELEC	7.465387	0.390461
H2_ELECTROLYSIS	18.868378	24.194439
H2_FROM_BIOMASS	32.666400	7.950035
GASIFICATION_SNG	153.600006	132.808780
P2G_INVESTMENT	110.928054	94.294729

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
ELECTRICITY	456.000000
NG	160.154772
WOOD	1141.947000
WASTE	0.000000
