Technology	Energy output [GWh/y]
PV	47976.978
WIND	11572.416
HYDRO_DAM	25381.428
HYDRO_RIVER	27973.440
GEOTHERMAL_ELEC	4979.520
IND_BOILER_GAS	1190.001
IND_BOILER_WOOD	6970.608
IND_BOILER_WASTE	9132.787
IND_HEATER_ELEC	17293.396
DHN_HP_ELEC	6733.885
DHN_GEOTHERMAL	6733.885
DEC_HP_ELEC	21379.495
DEC_THERMAL_HP_GAS	8551.798
THERMAL_SOLAR	7697.035
DEC_HEATER_ELEC	5130.662
POWER_TO_GAS_EFF	2071.679
H2_ELECTROLYSIS	3730.063
H2_FROM_BIOMASS	508.802
GASIFICATION_SNG	2567.042

Resource	Energy consumption [GWh/y]
ELECTRICITY	5000.000
NG	2376.184
WOOD	12279.000
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_BEV	103770.053
BUS_FC	7782.754
TRAIN_PUBLIC	18159.759
TRAIN_FREIGHT	20406.935
TRUCK_FREIGHT_FC	13604.623
