Technology	Energy output [GWh/y]
CCGT	1797.427
PV	40564.337
WIND	14850.912
HYDRO_DAM	25381.428
HYDRO_RIVER	18236.559
IND_COGEN_GAS	1064.831
IND_BOILER_GAS	10573.894
IND_BOILER_WASTE	9132.787
IND_HEATER_ELEC	13815.280
DHN_HP_ELEC	6905.021
DHN_GEOTHERMAL	6905.021
DEC_HP_ELEC	21293.927
DEC_THERMAL_HP_GAS	8517.571
DEC_BOILER_GAS	10060.954
THERMAL_SOLAR	2715.402
H2_ELECTROLYSIS	342.837
H2_FROM_GAS	2105.996

Resource	Energy consumption [GWh/y]
ELECTRICITY	5000.000
NG	38381.618
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_BEV	103770.053
BUS_NG	7782.754
TRAIN_PUBLIC	18159.759
TRAIN_FREIGHT	20406.935
TRUCK_FREIGHT_FC	13604.623
