Technology	Installed capacity [GW]
CCGT	0.495979
PV	41.133626
WIND	7.400000
HYDRO_DAM	12.380701
HYDRO_RIVER	4.302699
IND_COGEN_GAS	0.243780
IND_COGEN_WOOD	0.121600
IND_COGEN_WASTE	0.193200
IND_BOILER_GAS	2.239953
IND_BOILER_WASTE	1.464531
IND_HEATER_ELEC	3.948264
DHN_HP_ELEC	1.234783
DHN_COGEN_WOOD	0.121600
DHN_COGEN_WASTE	0.193200
DHN_BOILER_OIL	8.610009
DHN_GEOTHERMAL	1.477606
DEC_HP_ELEC	8.529170
DEC_THERMAL_HP_GAS	3.411668
DEC_BOILER_GAS	4.029862
THERMAL_SOLAR	2.859281
H2_ELECTROLYSIS	0.078059
H2_FROM_GAS	0.279547

Storage technology	Storage capacity [GWh]
HYDRO_STORAGE	2400.000000

Mobility	Passenger [Mpkm/h] or Freight [Mtkm/h]
CAR_BEV	11.845896
BUS_NG	0.888442
TRAIN_PUBLIC	2.073032
TRAIN_FREIGHT	2.329559
TRUCK_FREIGHT_FC	1.553039
