Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
PV	2059.416505	1723.901861
WIND	743.561476	169.460000
HYDRO_DAM	1905.444566	35.780227
HYDRO_RIVER	1749.298078	503.580000
GEOTHERMAL_ELEC	456.954681	353.400000
IND_BOILER_GAS	1.805742	0.468107
IND_BOILER_WOOD	14.788788	3.827649
IND_BOILER_WASTE	22.738031	5.885080
IND_HEATER_ELEC	119.209871	6.356705
DHN_HP_ELEC	29.371548	17.361400
DHN_GEOTHERMAL	170.869478	120.857549
DEC_HP_ELEC	281.854783	163.155346
DEC_THERMAL_HP_GAS	52.509357	22.970229
THERMAL_SOLAR	526.532276	86.400000
DEC_HEATER_ELEC	6.718603	0.351402
H2_ELECTROLYSIS	19.958936	25.592833
H2_FROM_GAS	2.949905	4.740201
GASIFICATION_SNG	167.102577	144.483649
P2G_INVESTMENT	106.395471	90.441793

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
ELECTRICITY	454.800000
WOOD	1141.947000
WASTE	0.000000
